,xw_111,im_112,jp_132,wx_111_rotation_non_integral,jp_111,as_111,p1_111_longitudinal_non_integral_0.5_2,p3_131_longitudinal_non_integral_0.5,si_111_translation_non_integral,as_132,avg
Baseline 1: pre-trained model,0.7859154929577464,0.4650602409638554,0.9083969465648855,0.9280397022332506,0.59846547314578,0.5051020408163265,0.596244131455399,0.43253968253968256,0.48129675810473815,0.8423645320197044,0.654342500080137
"Baseline 2: no pre-training, no meta training",0.9633802816901409,0.9036144578313253,0.8625954198473282,0.9652605459057072,0.9130434782608695,0.9795918367346939,0.704225352112676,0.5753968253968254,0.9600997506234414,0.9778325123152709,0.8805040460718278
M-EMG,0.8732394366197183,0.8024096385542169,0.7786259541984732,0.9553349875930521,0.7647058823529411,0.9642857142857143,0.6995305164319249,0.5,0.9376558603491272,0.8004926108374384,0.8076280601222606
