,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5864594894561598,0.48664440734557596,0.6250931677018634,0.4510727367870225,0.609526609820641,0.27964266377910124,0.47025781362523406,0.3696593261810653,0.4814030131826742,0.335243553008596,0.5344544708777687,0.6189290161892902,0.819281045751634,0.24582907728975145,0.5808625336927223,0.6081521739130434,0.6380853994490359,0.5046898638426627,0.4897688014881743,0.7333333333333333,0.6294754371357202,0.7696629213483146,0.7801600914808462,0.6047134440278522,0.6222222222222222,0.45486935866983375,0.32610993657505283,0.6820580474934037,0.6464276367443078,0.5511754342211346
Baseline 2: pre-trained model,0.5715871254162043,0.5712298274902615,0.6819875776397516,0.4324960753532182,0.5860041164363422,0.5717379534380076,0.5300302462912285,0.46772068511198944,0.661723163841808,0.6376313276026743,0.5500410172272354,0.7406600249066002,0.8849673202614379,0.7000340483486551,0.6719676549865229,0.675,0.709366391184573,0.7364599092284417,0.7964390114270529,0.8599439775910365,0.9097973910630031,0.8938826466916354,0.8702115494568324,0.825923942153187,0.7715355805243446,0.8605700712589074,0.6902748414376322,0.8327176781002639,0.7966500915990579,0.7065031464161347
M-EMG,0.579134295227525,0.6096271563717307,0.6114285714285714,0.2129774986917844,0.6018817994707439,0.47698971304818627,0.4650727351289068,0.44569922830792397,0.617467043314501,0.6191021967526266,0.5803937653814603,0.7805105853051059,0.8885620915032679,0.6847122914538645,0.6204851752021563,0.6684782608695652,0.7806473829201102,0.5942511346444781,0.7114004783417486,0.8016806722689076,0.8756591729114627,0.903558052434457,0.7970268724985706,0.7785216925549009,0.7056179775280899,0.7413301662707839,0.595137420718816,0.6939313984168866,0.7652447003402251,0.6622941217002538
