,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5374429223744293,0.4641106947247045,0.5110256410256411,0.49120908845009464,0.47802197802197804,0.530400672457271,0.4788794367849809,0.38415574402467234,0.43245209798690276,0.47299412915851274,0.45443064617975165,0.7081308713961775,0.7052810902896082,0.7158605974395448,0.6331938633193863,0.5080168776371308,0.6513134220942786,0.5915094339622642,0.5453545904343046,0.5547169811320755,0.5273145485911443,0.6063657031503735,0.5013341239252891,0.5126073704627321,0.5355670103092783,0.5534883720930233,0.4818256354195135,0.4941336971350614,0.5043290043290043,0.5367402153210045
Baseline 2: pre-trained model,0.6799086757990868,0.6217930239262035,0.6615384615384615,0.6702731944820124,0.6364468864468864,0.6660128887643597,0.6333235552948079,0.5647648419429453,0.6162988115449916,0.8058708414872798,0.5866133445590402,0.8995788791707159,0.7543441226575809,0.7286628733997155,0.8078103207810321,0.7769338959212377,0.7034904641957539,0.7264150943396226,0.5373831775700935,0.6981132075471698,0.6966647498562392,0.6921078272166288,0.70975392825378,0.5779994458298697,0.7904639175257732,0.6709914320685435,0.7007379065318393,0.5121418826739427,0.6956168831168831,0.6835191218773274
M-EMG,0.6867579908675799,0.7835110982992217,0.6751282051282051,0.6424127671084663,0.6941391941391941,0.7015970860184926,0.6518040481079496,0.6160370084811102,0.5806451612903226,0.8176125244618395,0.6331298673963376,0.8862973760932945,0.8374787052810903,0.7660028449502134,0.7319386331938633,0.7949367088607595,0.8172004318100036,0.8245283018867925,0.5492028587135789,0.6618287373004355,0.7740080506037953,0.818447547905164,0.7726059887340646,0.7777777777777778,0.834278350515464,0.7740514075887392,0.7562175457775349,0.7083219645293315,0.7670454545454546,0.735687711633313
