,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5438799076212472,0.4711904065516233,0.5503896103896104,0.4982177131889224,0.4857408555486671,0.5379369138959932,0.48241725768321514,0.38731023744647725,0.5423520746378591,0.408498023715415,0.4326738991703893,0.6796180441224893,0.6474870017331023,0.7005792903692976,0.6628005657708628,0.5049928673323824,0.6225723708318065,0.6012779552715655,0.5532329988851727,0.563181148748159,0.5350058343057176,0.5318586992406735,0.504965392717424,0.5290812025849958,0.5399477806788512,0.561090458488228,0.5048489886395123,0.5012448132780083,0.5191991223258365,0.5380548770749485
Baseline 2: pre-trained model,0.6496535796766744,0.6124597835624451,0.6664935064935065,0.6953660542911982,0.5756354618722876,0.6945154873543621,0.5947104018912529,0.6448034254573765,0.6538178246992389,0.8122529644268774,0.6230589236332695,0.8610470859400724,0.7653379549393414,0.7972483707458363,0.8625176803394625,0.7106990014265335,0.6375961890802492,0.7968051118210863,0.5674470457079153,0.6491899852724595,0.7231621936989499,0.8296467481016837,0.6012639181462534,0.6319190783928069,0.7913838120104438,0.7244114002478315,0.7384316985314492,0.5360995850622406,0.7306637410861218,0.6957806211692837
M-EMG,0.6316397228637414,0.766013454226382,0.6825974025974026,0.7057855771867289,0.768753874767514,0.6871270247229326,0.6087470449172577,0.6932658622031919,0.5502086913822735,0.791501976284585,0.6154009785152096,0.7648995719459993,0.8894280762564991,0.8142650253439536,0.8528995756718529,0.7340941512125535,0.9017955294979846,0.8559105431309905,0.6822742474916388,0.7723122238586156,0.7179113185530922,0.8154506437768241,0.8152272043334337,0.8527676313571227,0.9355091383812011,0.6810408921933085,0.6403435854807425,0.6019363762102351,0.8071859572133845,0.7460790793647122
