,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.501123595505618,0.4209039548022599,0.4722921914357683,0.45225464190981435,0.4343283582089552,0.48626373626373626,0.45718432510885343,0.35456273764258556,0.39451728247914186,0.38223938223938225,0.39689119170984455,0.3971518987341772,0.47420965058236275,0.4800693240901213,0.4131326949384405,0.45517241379310347,0.4263157894736842,0.5415384615384615,0.5067385444743935,0.5092460881934566,0.48450704225352115,0.4746031746031746,0.44992743105950656,0.47146739130434784,0.489873417721519,0.516245487364621,0.4544235924932976,0.4538152610441767,0.46419098143236076,0.45569620835864444
Baseline 2: pre-trained model,0.7146067415730337,0.6440677966101694,0.5503778337531486,0.519893899204244,0.4791044776119403,0.5989010989010989,0.5413642960812772,0.5608365019011406,0.4684147794994041,0.611969111969112,0.5689119170984456,0.6708860759493671,0.6306156405990017,0.6880415944540728,0.6607387140902873,0.6882758620689655,0.6403508771929824,0.84,0.6024258760107817,0.6145092460881935,0.7985915492957747,0.8285714285714286,0.7460087082728593,0.6847826086956522,0.6860759493670886,0.7424789410348978,0.7841823056300268,0.6599732262382865,0.786472148541114,0.6555665243553032
M-EMG,0.6910112359550562,0.7810734463276836,0.5453400503778337,0.6047745358090185,0.31343283582089554,0.6304945054945055,0.5595065312046444,0.5684410646387833,0.5160905840286055,0.6023166023166023,0.572020725388601,0.7294303797468354,0.7853577371048253,0.6481802426343154,0.6169630642954856,0.7710344827586207,0.7280701754385965,0.6784615384615384,0.6495956873315364,0.620199146514936,0.6535211267605634,0.6349206349206349,0.7895500725689405,0.7989130434782609,0.8455696202531645,0.7906137184115524,0.839142091152815,0.536813922356091,0.6962864721485411,0.6619698370241202
