,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5814977973568282,0.5191256830601093,0.6431924882629108,0.5401069518716578,0.6627906976744186,0.5510204081632653,0.5723270440251572,0.43440233236151604,0.6293436293436293,0.5580357142857143,0.6324110671936759,0.4642857142857143,0.5988372093023255,0.6451612903225806,0.6666666666666666,0.5478723404255319,0.6810810810810811,0.5170068027210885,0.5575757575757576,0.42934782608695654,0.7046632124352331,0.5628415300546448,0.48484848484848486,0.47368421052631576,0.645933014354067,0.6979166666666666,0.6422018348623854,0.6075268817204301,0.4444444444444444,0.5721925133689839,0.575611376511608
Baseline 2: pre-trained model,0.6651982378854625,0.5355191256830601,0.6995305164319249,0.5294117647058824,0.6627906976744186,0.6224489795918368,0.6320754716981132,0.5743440233236151,0.722007722007722,0.6428571428571429,0.7035573122529645,0.5753968253968254,0.6918604651162791,0.6645161290322581,0.7533333333333333,0.48936170212765956,0.6648648648648648,0.54421768707483,0.8,0.7228260869565217,0.6994818652849741,0.8415300546448088,0.7393939393939394,0.8538011695906432,0.7511961722488039,0.8645833333333334,0.7614678899082569,0.7634408602150538,0.6031746031746031,0.6470588235294118,0.6807082266446182
M-EMG,0.5947136563876652,0.4972677595628415,0.6103286384976526,0.5561497326203209,0.6918604651162791,0.6581632653061225,0.6415094339622641,0.6122448979591837,0.5598455598455598,0.7321428571428571,0.7272727272727273,0.5634920634920635,0.627906976744186,0.7032258064516129,0.7266666666666667,0.7819148936170213,0.7243243243243244,0.6394557823129252,0.5575757575757576,0.6684782608695652,0.6476683937823834,0.7923497267759563,0.5696969696969697,0.7953216374269005,0.7894736842105263,0.8020833333333334,0.7431192660550459,0.7903225806451613,0.42857142857142855,0.7005347593582888,0.6644560435194529
