,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p7_121,p7_141,p7_112,p7_122,p7_132,p7_142,avg
"Baseline 1: no pre-training, no meta training",0.5412004069175992,0.5532329988851727,0.563181148748159,0.709915611814346,0.5341696929679762,0.5073728558531447,0.5254237288135594,0.5835859174632781,0.5826415094339623,0.5621096460791117,0.6264161370544349,0.6336772983114447,0.5769105793618491
Baseline 2: pre-trained model,0.7525432349949135,0.5139353400222966,0.617378497790869,0.7360232067510548,0.7405084186200066,0.7372855853144749,0.7447941888619855,0.9006761482863138,0.6976100628930818,0.6854036548693038,0.9223542415031777,0.8728893058161351,0.7434501571436344
M-EMG,0.7380467955239064,0.6608138238573021,0.6989690721649484,0.8351793248945147,0.9016176956091119,0.7381883839903701,0.7910411622276029,0.8747959897411984,0.8548427672955975,0.7198704603284756,0.9245647969052224,0.8754690431519699,0.8011166096408519
