,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p7_121,p7_141,p7_112,p7_122,p7_132,p7_142,avg
"Baseline 1: no pre-training, no meta training",0.6281790437436419,0.5529542920847269,0.5628865979381443,0.5762130801687764,0.5437438098382305,0.5603370448390009,0.525181598062954,0.6488692002797855,0.6427672955974842,0.5921813555401342,0.6009947499309202,0.6210131332082551,0.5879434334360045
Baseline 2: pre-trained model,0.6444557477110885,0.5395763656633222,0.5882179675994109,0.6165611814345991,0.650709805216243,0.6105928377971712,0.711864406779661,0.7411984145488458,0.6676729559748428,0.5040481147351377,0.7043382149765128,0.7216228893058161,0.6417382418118877
M-EMG,0.7222787385554426,0.6351727982162765,0.6730486008836525,0.8937236286919831,0.5879828326180258,0.6439963888052964,0.7297820823244552,0.7663791093494987,0.740125786163522,0.6627342123525329,0.790273556231003,0.700046904315197,0.7121287198755738
