,p1_112,p1_122,p1_132,p1_142,p3_112,p3_122,p3_132,p3_142,p4_112,p4_122,p4_132,p4_142,p7_112,p7_122,p7_132,p7_142,p8_112,p8_122,p8_132,p8_142,avg
"Baseline 1: no pre-training, no meta training",0.6298815822625347,0.5177529182879378,0.5209908735332465,0.5499283325370282,0.5733236854799807,0.5877126174155877,0.6272079330647661,0.6350076103500761,0.44539877300613495,0.5184847932981242,0.5014332965821389,0.4554176072234763,0.5733333333333334,0.5618783252371039,0.5103619784470849,0.5633208255159474,0.6108404384896468,0.4843132085420511,0.4993508179693586,0.4336721396924681,0.5399805545134013
Baseline 2: pre-trained model,0.7407407407407407,0.39250972762645914,0.5522816166883964,0.45747730530339226,0.7185238784370478,0.6994160954556994,0.7802912922218779,0.7817351598173516,0.6950920245398773,0.7295574576579857,0.7073869900771775,0.5673438675696012,0.8244025157232704,0.7330557483229239,0.8402873722022658,0.8480300187617261,0.8313032886723508,0.7577115739520168,0.5816670994546871,0.6416471201459474,0.6940230446685398
M-EMG,0.6840513983371126,0.5179961089494164,0.5830508474576271,0.5807453416149069,0.6948866377231067,0.7090632140137091,0.7843198016733809,0.7321156773211568,0.7214723926380369,0.6266618102349298,0.6919514884233737,0.4360421369450715,0.7584905660377359,0.7323617857969003,0.9088145896656535,0.8285647279549718,0.6540803897685749,0.6564724492486159,0.7649961049078161,0.49257232212666147,0.6779354895419379
