,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p7_121,p7_141,p7_112,p7_122,p7_132,p7_142,avg
"Baseline 1: no pre-training, no meta training",0.5406917599186165,0.5529542920847269,0.5628865979381443,0.5965189873417721,0.531198415318587,0.5025579295817033,0.5200968523002422,0.5833527628817906,0.5645283018867925,0.561647004395096,0.5100856590218292,0.5630863039399625,0.5491337388841052
Baseline 2: pre-trained model,0.6655645981688708,0.544593088071349,0.508100147275405,0.7990506329113924,0.6404754044239023,0.6093891062293109,0.7041162227602905,0.7542550711121474,0.6314465408805031,0.5896368262780477,0.6825089803813208,0.7237335834896811,0.654405850165185
M-EMG,0.7227873855544252,0.6808807134894092,0.49337260677466865,0.8895042194092827,0.5876526906569826,0.43063496840204635,0.8157384987893462,0.8554441594777338,0.8316981132075472,0.563266250289151,0.8958275766786405,0.8166041275797373,0.7152842758590808
