,xw_111,im_112,jp_132,wx_111_rotation_non_integral,jp_111,as_111,p1_111_longitudinal_non_integral_0.5_2,p3_131_longitudinal_non_integral_0.5,si_111_translation_non_integral,as_132,avg
Baseline 1: pre-trained model,0.8845070422535212,0.9373493975903614,0.9007633587786259,0.9578163771712159,0.8465473145780051,0.9540816326530612,0.6150234741784038,0.5634920634920635,0.8877805486284289,0.9655172413793104,0.8512878450702998
"Baseline 2: no pre-training, no meta training",0.9859154929577465,0.9349397590361446,0.8396946564885496,0.9652605459057072,0.9156010230179028,0.9770408163265306,0.6854460093896714,0.5912698412698413,0.9650872817955112,0.916256157635468,0.8776511583823072
M-EMG,0.9352112676056338,0.8168674698795181,0.8015267175572519,0.9503722084367245,0.8005115089514067,0.9617346938775511,0.6995305164319249,0.5238095238095238,0.9376558603491272,0.812807881773399,0.8240027648672061
