,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.54364896073903,0.4711904065516233,0.5953246753246754,0.4982177131889224,0.4857408555486671,0.539357772094345,0.48226950354609927,0.38731023744647725,0.5263933218757673,0.27391304347826084,0.4622420761540098,0.7105696410931841,0.4714038128249567,0.6984069514844315,0.6418670438472419,0.5400855920114123,0.6973250274825944,0.6012779552715655,0.5532329988851727,0.563181148748159,0.5350058343057176,0.5344998349290194,0.5028588624736684,0.6344478786175892,0.5446475195822454,0.561090458488228,0.5236907730673317,0.5020746887966805,0.5161821173889194,0.537843334663655
Baseline 2: pre-trained model,0.6545034642032332,0.6870429950277859,0.6976623376623377,0.6605429119824513,0.5712957222566646,0.6817277635691958,0.5978132387706856,0.5513818606461658,0.5688681561502578,0.5847826086956521,0.6681557115507338,0.7471188673032598,0.8512998266897747,0.7632150615496017,0.7284299858557284,0.6713266761768901,0.6790032979113229,0.8099041533546326,0.5994983277591973,0.6709867452135493,0.7024504084014003,0.7589963684384285,0.7327715919349985,0.76313571227873,0.8454308093994778,0.7801734820322181,0.7567193128290385,0.5441217150760719,0.7262753702687877,0.6915391201030437
M-EMG,0.7046189376443418,0.7165837964317052,0.7412987012987013,0.8201261310666301,0.7163670179789212,0.7163967036089798,0.5441784869976359,0.5940054495912807,0.48760127670022096,0.8057312252964427,0.5994469261859179,0.8284491274283833,0.878682842287695,0.8262128892107169,0.844978783592645,0.8148359486447931,0.8948332722609015,0.8575079872204473,0.6741917502787068,0.7699558173784978,0.9288214702450408,0.8801584681413007,0.7730965994583208,0.8561393649901657,0.7736292428198434,0.6827757125154895,0.685785536159601,0.4976486860304288,0.6075150850246845,0.7421232150513255
