,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5089285714285714,0.42997198879551823,0.48125,0.46578947368421053,0.4408284023668639,0.49591280653950953,0.47326589595375723,0.4007561436672968,0.5360946745562131,0.4923224568138196,0.4933058702368692,0.5736677115987461,0.5815485996705108,0.38078902229845624,0.6010854816824966,0.5170998632010944,0.515625,0.5472560975609756,0.5106951871657754,0.5190409026798307,0.49860335195530725,0.3490566037735849,0.5625899280575539,0.4784366576819407,0.41457286432160806,0.5089605734767025,0.40558510638297873,0.46082337317397076,0.4605263157894737,0.48635823877633233
Baseline 2: pre-trained model,0.6294642857142857,0.6078431372549019,0.6225,0.6263157894736842,0.5340236686390533,0.6021798365122616,0.5426300578034682,0.5623818525519849,0.5112426035502958,0.6190019193857965,0.5653964984552008,0.7601880877742947,0.6886326194398682,0.6792452830188679,0.7082767978290366,0.7387140902872777,0.65625,0.823170731707317,0.6818181818181818,0.609308885754584,0.7248603351955307,0.7264150943396226,0.8129496402877698,0.5242587601078167,0.5954773869346733,0.6451612903225806,0.7327127659574468,0.4409030544488712,0.6197368421052631,0.6410710171265495
M-EMG,0.6819196428571429,0.6610644257703081,0.68,0.5592105263157895,0.5769230769230769,0.5422343324250681,0.6192196531791907,0.6096408317580341,0.5727810650887574,0.6804222648752399,0.5499485066941298,0.7115987460815048,0.7660626029654036,0.6655231560891939,0.6689280868385346,0.8030095759233926,0.6909722222222222,0.8125,0.6617647058823529,0.7207334273624824,0.7527932960893855,0.8632075471698113,0.7755395683453238,0.8355795148247979,0.8077889447236181,0.7096774193548387,0.8444148936170213,0.7264276228419655,0.7921052631578948,0.70144796273712
