,p1_112,p1_122,p1_132,p1_142,p3_112,p3_122,p3_132,p3_142,p4_112,p4_122,p4_132,p4_142,p7_112,p7_122,p7_132,p7_142,p8_112,p8_122,p8_132,p8_142,avg
"Baseline 1: no pre-training, no meta training",0.6298815822625347,0.5179961089494164,0.5209908735332465,0.5496894409937888,0.5733236854799807,0.5877126174155877,0.6272079330647661,0.6350076103500761,0.4456032719836401,0.5184847932981242,0.5016538037486218,0.4667042889390519,0.5662893081761007,0.5618783252371039,0.5120198949986184,0.5635553470919324,0.6537758830694276,0.4843132085420511,0.4988314723448455,0.43575710190252803,0.5425338275690721
Baseline 2: pre-trained model,0.7268833459309649,0.4491731517509728,0.5786179921773142,0.5496894409937888,0.7026049204052098,0.7334348819497334,0.7861791137279207,0.7095890410958904,0.6789366053169734,0.7009652158076853,0.6961411245865491,0.559255079006772,0.7909433962264151,0.8653712699514227,0.8936170212765957,0.8128517823639775,0.7850182704019488,0.7888215133139995,0.5520643988574396,0.6869950482147511,0.7023576306678162
M-EMG,0.7475434618291761,0.501215953307393,0.5822685788787484,0.5946010511227903,0.6903039073806078,0.7161716171617162,0.7415556244189649,0.7403348554033485,0.7427402862985685,0.5964305226734656,0.7056229327453142,0.4847629796839729,0.7957232704402516,0.7897293546148508,0.9439071566731141,0.7950281425891182,0.6927527405602923,0.8307408383865015,0.7333160218125162,0.5850925201980715,0.7004920908089391
