,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5438799076212472,0.4711904065516233,0.5179220779220779,0.5001370989854675,0.48543087414755115,0.5390736004546747,0.4853723404255319,0.38906189178668743,0.45249202062361893,0.5029644268774703,0.5173367368644969,0.6661178794863352,0.6079722703639515,0.6882693700217234,0.5490806223479491,0.538944365192582,0.6115793330890436,0.6019169329073483,0.5532329988851727,0.5620029455081001,0.5364644107351225,0.541762958071971,0.5221185675594342,0.5200899128968811,0.5177545691906005,0.5675340768277571,0.514824050983652,0.5120331950207468,0.515907844212836,0.5356023339848847
Baseline 2: pre-trained model,0.5916859122401847,0.7712781515062884,0.6675324675324675,0.6835755415409926,0.7668939863608184,0.7095765842568912,0.5255614657210402,0.64674970805761,0.5958752762091825,0.841699604743083,0.6332695171240161,0.7494237734606519,0.7701906412478337,0.7635771180304127,0.7671852899575672,0.6932952924393724,0.7731769879076584,0.7472843450479233,0.5922519509476031,0.7166421207658321,0.7981330221703618,0.5582700561241334,0.7102016250376166,0.722112953076707,0.8464751958224543,0.6508054522924411,0.7858132446661125,0.5203319502074689,0.7057048820625342,0.7001577281571468
M-EMG,0.6958429561200924,0.7823925124305352,0.5851948051948052,0.6092678914176035,0.7005579665220086,0.649616368286445,0.6148049645390071,0.6292331646555079,0.5502086913822735,0.6391304347826087,0.629865985960434,0.7000329272308199,0.9032928942807625,0.8450398262128892,0.6913719943422914,0.7726105563480742,0.7794063759618908,0.7386581469648562,0.4403567447045708,0.557879234167894,0.7322053675612602,0.7632882139319908,0.7105025579295817,0.8064062939027817,0.8033942558746736,0.701363073110285,0.7290108063175395,0.5695712309820193,0.7010422380691168,0.6907430510063663
