,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5089285714285714,0.42997198879551823,0.48125,0.45921052631578946,0.4437869822485207,0.49591280653950953,0.46315028901734107,0.3629489603024575,0.4603550295857988,0.6900191938579654,0.4881565396498455,0.6536050156739812,0.685337726523888,0.6998284734133791,0.587516960651289,0.47058823529411764,0.4392361111111111,0.551829268292683,0.5120320855614974,0.5190409026798307,0.49860335195530725,0.6666666666666666,0.5726618705035971,0.4784366576819407,0.628140703517588,0.5244922341696535,0.4627659574468085,0.46082337317397076,0.4723684210526316,0.5230229276934918
Baseline 2: pre-trained model,0.5089285714285714,0.5854341736694678,0.685,0.5486842105263158,0.5798816568047337,0.5626702997275205,0.5339595375722543,0.5330812854442344,0.48994082840236686,0.6170825335892515,0.5653964984552008,0.7068965517241379,0.6490939044481054,0.6672384219554031,0.6974219810040706,0.6238030095759234,0.5954861111111112,0.7347560975609756,0.6697860962566845,0.6417489421720733,0.7262569832402235,0.8380503144654088,0.7280575539568346,0.6266846361185984,0.7638190954773869,0.6236559139784946,0.7247340425531915,0.4116865869853918,0.6144736842105263,0.6294382593936021
M-EMG,0.7600446428571429,0.7464985994397759,0.585,0.631578947368421,0.5399408284023669,0.5599455040871935,0.5975433526011561,0.6190926275992439,0.514792899408284,0.6516314779270633,0.5561277033985582,0.7852664576802508,0.7924217462932455,0.6946826758147513,0.6472184531886025,0.7606019151846786,0.7430555555555556,0.8155487804878049,0.6751336898395722,0.6657263751763046,0.744413407821229,0.8537735849056604,0.7438848920863309,0.8221024258760108,0.8706030150753769,0.7956989247311828,0.8470744680851063,0.5285524568393094,0.825,0.7025157037148339
