,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p7_121,p7_141,p7_112,p7_122,p7_132,p7_142,avg
"Baseline 1: no pre-training, no meta training",0.5409460834181078,0.5529542920847269,0.5628865979381443,0.5453586497890295,0.5473753714097062,0.5028588624736684,0.5254237288135594,0.5875495453485661,0.5647798742138365,0.5623409669211196,0.5114672561481072,0.5633208255159474,0.5472718378395433
Baseline 2: pre-trained model,0.6256358087487284,0.4498327759197324,0.7128129602356407,0.8272679324894515,0.8091779465170023,0.7857357809208546,0.6520581113801452,0.8039169969689904,0.7544654088050314,0.7092297015961138,0.7988394584139265,0.8588180112570356,0.7323159077710545
M-EMG,0.7555951169888098,0.6669453734671126,0.6942562592047128,0.7035864978902954,0.8672829316606141,0.7372855853144749,0.8196125907990315,0.8736302168337607,0.8261635220125786,0.7617395327318991,0.9430781983973473,0.8665572232645403,0.792977754047098
