,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.21333333333333335,0.26666666666666666,0.24378109452736318,0.23036649214659685,0.27058823529411763,0.22162162162162163,0.23631123919308358,0.5263157894736842,0.2676056338028169,0.29770992366412213,0.4918032786885246,0.2857142857142857,0.2222222222222222,0.23809523809523808,0.2956989247311828,0.25,0.2689655172413793,0.22424242424242424,0.23404255319148937,0.2681564245810056,0.24444444444444444,0.2625,0.28,0.3155080213903743,0.36,0.22274881516587677,0.23809523809523808,0.25263157894736843,0.2774869109947644,0.2760915830161802
Baseline 2: pre-trained model,0.6533333333333333,0.5944444444444444,0.5920398009950248,0.5287958115183246,0.5235294117647059,0.5783783783783784,0.5446685878962536,0.5902255639097744,0.6572769953051644,0.6374045801526718,0.5737704918032787,0.6832298136645962,0.6666666666666666,0.6802721088435374,0.6344086021505376,0.6902173913043478,0.6275862068965518,0.7878787878787878,0.6861702127659575,0.6312849162011173,0.7833333333333333,0.80625,0.7657142857142857,0.7112299465240641,0.815,0.6966824644549763,0.7301587301587301,0.7789473684210526,0.7801047120418848,0.6699656188455789
M-EMG,0.6577777777777778,0.6166666666666667,0.5124378109452736,0.49214659685863876,0.4764705882352941,0.5081081081081081,0.547550432276657,0.5112781954887218,0.6009389671361502,0.5419847328244275,0.5614754098360656,0.6894409937888198,0.6862745098039216,0.7006802721088435,0.6344086021505376,0.6956521739130435,0.6551724137931034,0.7393939393939394,0.6276595744680851,0.6424581005586593,0.7444444444444445,0.85,0.7657142857142857,0.7379679144385026,0.82,0.7725118483412322,0.8306878306878307,0.7684210526315789,0.7696335078534031,0.6605985086291039
