,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,p8_111,p8_121,p8_141,p8_112,p8_122,p8_132,p8_142,avg
"Baseline 1: no pre-training, no meta training",0.5906153413880303,0.5052219321148825,0.5454770755885997,0.46280023432923256,0.5009681881051176,0.5156335710367526,0.4826388888888889,0.5802056555269923,0.5304878048780488,0.5441534713763703,0.6013709464803586,0.5286938457543495,0.5486056815220224,0.5336055874607419
Baseline 2: pre-trained model,0.4647372857544254,0.5595300261096606,0.6513011152416357,0.47598125366139427,0.49571230982019365,0.656335710367526,0.6092414529914529,0.5419023136246787,0.5861611876988335,0.6778319123020706,0.656736092802531,0.5312905738769151,0.63408913213448,0.5800654127989074
M-EMG,0.7434672660859792,0.6253263707571801,0.6257744733581165,0.5295840656121851,0.7278008298755186,0.7388919363686232,0.6412927350427351,0.5922879177377892,0.693001060445387,0.6830085261875761,0.7748484049564988,0.5959491041287978,0.6116757883763356,0.660223729148671
