,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.6653198653198653,0.6216139954853274,0.5506918238993711,0.48303287380699894,0.5061175768427335,0.5238748627881449,0.5768170607863049,0.5050351510545317,0.42329680800381136,0.5469623915139826,0.451512639867385,0.6062618595825426,0.7900332225913621,0.7481815032906131,0.6442622950819672,0.5674931129476584,0.7193412754029432,0.6820276497695853,0.6030164287638029,0.6769886363636364,0.6476217281170842,0.5091946734305643,0.6023781902552204,0.6031487513572205,0.5592920353982301,0.7199519230769231,0.4833958221746117,0.6299465240641712,0.4911164147440997,0.5909630033027824
Baseline 2: pre-trained model,0.5212121212121212,0.4898419864559819,0.3559748427672956,0.46977730646871685,0.3736198149806028,0.5847969264544457,0.5399680835630349,0.44765342960288806,0.5323963792282039,0.7182256509161041,0.5076668048072939,0.7881087919038583,0.7056478405315615,0.7461032213370281,0.7073770491803278,0.6771349862258953,0.7817098808689559,0.7895545314900153,0.8120118502558578,0.7616477272727272,0.6898395721925134,0.8002536461636017,0.8181554524361949,0.6381650380021715,0.5881163084702907,0.746875,0.7150508837707552,0.5564171122994652,0.6732962079024132,0.6391930498882868
M-EMG,0.4877665544332211,0.6080699774266366,0.5345911949685535,0.4220572640509014,0.5204416592062071,0.48600439077936336,0.5734803423763238,0.5890176705301159,0.4259171033825631,0.7548698167791706,0.5598839618731869,0.9190385831752056,0.7524916943521595,0.7332871492899203,0.7426229508196721,0.7716253443526171,0.782761037140855,0.8626728110599078,0.6428763802854834,0.5789772727272727,0.676329862088376,0.7926442612555485,0.8314965197215777,0.8395765472312704,0.8255372945638433,0.7129807692307693,0.6534547402249599,0.5625668449197861,0.6759480243967118,0.6661720007807648
