,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.688,0.4735099337748344,0.6022727272727273,0.577922077922078,0.5886524822695035,0.7027863777089783,0.6330798479087453,0.5035211267605634,0.38927738927738925,0.4092140921409214,0.3444976076555024,0.33653846153846156,0.43109540636042404,0.5118110236220472,0.5506072874493927,0.23548387096774193,0.25245901639344265,0.4854771784232365,0.2730627306273063,0.48026315789473684,0.389937106918239,0.7086092715231788,0.24354243542435425,0.46808510638297873,0.476878612716763,0.310126582278481,0.3573407202216066,0.21895424836601307,0.46794871794871795,0.5145631067961165,0.45418392348481607
Baseline 2: pre-trained model,0.6453333333333333,0.6291390728476821,0.48863636363636365,0.24675324675324675,0.6312056737588653,0.47058823529411764,0.8384030418250951,0.42077464788732394,0.5291375291375291,0.5826558265582655,0.8349282296650717,0.4230769230769231,0.6395759717314488,0.8031496062992126,0.8097165991902834,0.5935483870967742,0.7311475409836066,0.5394190871369294,0.6752767527675276,0.6447368421052632,0.6320754716981132,0.7417218543046358,0.6273062730627307,0.6418439716312057,0.7976878612716763,0.7848101265822784,0.8227146814404432,0.803921568627451,0.5160256410256411,0.7928802588996764,0.6446063539876239
M-EMG,0.5173333333333333,0.4205298013245033,0.5965909090909091,0.2857142857142857,0.48936170212765956,0.5851393188854489,0.8517110266159695,0.40492957746478875,0.46386946386946387,0.5745257452574526,0.6985645933014354,0.47596153846153844,0.4558303886925795,0.6338582677165354,0.805668016194332,0.5290322580645161,0.5049180327868853,0.5684647302904564,0.24723247232472326,0.6447368421052632,0.5314465408805031,0.7284768211920529,0.5904059040590406,0.5106382978723404,0.7514450867052023,0.6835443037974683,0.7645429362880887,0.5163398692810458,0.4166666666666667,0.8511326860841424,0.569953713881621
