,p1_112,p1_122,p1_132,p1_142,p3_112,p3_122,p3_132,p3_142,p4_112,p4_122,p4_132,p4_142,p7_112,p7_122,p7_132,p7_142,p8_112,p8_122,p8_132,p8_142,avg
"Baseline 1: no pre-training, no meta training",0.6298815822625347,0.5179961089494164,0.521251629726206,0.5499283325370282,0.5733236854799807,0.5877126174155877,0.6275178184071893,0.6350076103500761,0.4456032719836401,0.5201238390092879,0.5016538037486218,0.4646350639578631,0.5755974842767295,0.6278047652093454,0.6369162752141475,0.5668386491557224,0.6580389768574909,0.5235960980754021,0.47857699298883405,0.4336721396924681,0.5537838372648786
Baseline 2: pre-trained model,0.7047115142353237,0.4260700389105058,0.5634941329856584,0.580267558528428,0.693680656054028,0.7047473978167047,0.7598388596219399,0.791476407914764,0.6773006134969325,0.6226552540520852,0.7100330760749725,0.5919864559819413,0.7871698113207547,0.7272727272727273,0.9088145896656535,0.850375234521576,0.8081607795371498,0.8151858687055101,0.6803427681121786,0.618191295282773,0.7010887520045804
M-EMG,0.762408667170572,0.5131322957198443,0.5903520208604954,0.590539894887721,0.6871683550410034,0.6999238385376999,0.7898977378370003,0.7418569254185693,0.6353783231083845,0.6468767073392825,0.7100330760749725,0.48683220466516175,0.8158490566037736,0.8413139023826047,0.8911301464492953,0.9068949343339587,0.7658343483556638,0.7653572370155549,0.7039729940275253,0.6565024758926244,0.7100627570860855
