,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.6956120092378753,0.6738812518280198,0.6516883116883117,0.6657526734302166,0.6298822070675759,0.5518613242398409,0.48699763593380613,0.38731023744647725,0.5295850724281856,0.5444664031620553,0.5626462454796852,0.7211063549555482,0.6675909878682842,0.7465604634322954,0.6973125884016973,0.7252496433666191,0.7009893733968486,0.6955271565495208,0.5532329988851727,0.563181148748159,0.6429404900816803,0.6777814460217894,0.5723743605176046,0.7712840685585839,0.7725848563968668,0.6567534076827757,0.5045719035743973,0.5092669432918395,0.6442676906198573,0.6276641122169514
Baseline 2: pre-trained model,0.6531177829099307,0.6668616554548114,0.6953246753246753,0.6833013435700576,0.7306261624302541,0.6871270247229326,0.6261820330969267,0.7043596730245232,0.6047139700466486,0.7628458498023716,0.5871091257179324,0.9229502798814619,0.8824956672443675,0.7671976828385229,0.8342291371994343,0.7737517831669044,0.8211799193843898,0.7853035143769969,0.6067447045707915,0.7328424153166421,0.7345390898483081,0.824694618686035,0.727956665663557,0.7066591739252599,0.8216710182767624,0.7065675340768277,0.7029648101967304,0.49903181189488244,0.7268239166209545,0.7234197599748239
M-EMG,0.7415704387990762,0.6797309154723603,0.6670129870129871,0.6479298053194407,0.7774333539987601,0.670076726342711,0.6464243498817966,0.5864149474503698,0.5622391357721581,0.6096837944664032,0.6164645820038289,0.7253868949621337,0.7407279029462738,0.7556118754525706,0.6916548797736917,0.738944365192582,0.757420300476365,0.7747603833865815,0.7162764771460424,0.7463917525773196,0.7432905484247374,0.9177946517002311,0.7571471561841709,0.8246698510817645,0.791644908616188,0.6584882280049567,0.5965641451925742,0.7562932226832642,0.8384530992868897,0.7150517820554562
