,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.43171806167400884,0.3114754098360656,0.5868544600938967,0.37967914438502676,0.6104651162790697,0.5663265306122449,0.24528301886792453,0.45481049562682213,0.2471042471042471,0.3705357142857143,0.5177865612648221,0.30952380952380953,0.19186046511627908,0.36774193548387096,0.22,0.2553191489361702,0.2972972972972973,0.4557823129251701,0.7272727272727273,0.41847826086956524,0.7461139896373057,0.7103825136612022,0.296969696969697,0.30409356725146197,0.6172248803827751,0.484375,0.6467889908256881,0.5591397849462365,0.5608465608465608,0.39572192513368987,0.44289905423697823
Baseline 2: pre-trained model,0.5814977973568282,0.5136612021857924,0.6009389671361502,0.48663101604278075,0.6104651162790697,0.576530612244898,0.4937106918238994,0.41690962099125367,0.4594594594594595,0.5491071428571429,0.6363636363636364,0.4801587301587302,0.5406976744186046,0.49032258064516127,0.5133333333333333,0.5053191489361702,0.5405405405405406,0.5170068027210885,0.703030303030303,0.6086956521739131,0.6735751295336787,0.6666666666666666,0.6303030303030303,0.6023391812865497,0.6985645933014354,0.5625,0.5275229357798165,0.6451612903225806,0.544973544973545,0.6042780748663101,0.5660088158577457
M-EMG,0.5991189427312775,0.5136612021857924,0.6244131455399061,0.4385026737967914,0.6162790697674418,0.5663265306122449,0.5314465408805031,0.49854227405247814,0.5868725868725869,0.5982142857142857,0.5217391304347826,0.6904761904761905,0.7906976744186046,0.6838709677419355,0.6733333333333333,0.601063829787234,0.654054054054054,0.5238095238095238,0.7333333333333333,0.7445652173913043,0.7305699481865285,0.73224043715847,0.7333333333333333,0.7076023391812866,0.7799043062200957,0.7552083333333334,0.7614678899082569,0.6935483870967742,0.5343915343915344,0.6524064171122995,0.6423664477618506
