,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5814977973568282,0.5191256830601093,0.6009389671361502,0.5187165775401069,0.6802325581395349,0.6173469387755102,0.5880503144654088,0.40524781341107874,0.3436293436293436,0.5491071428571429,0.4426877470355731,0.30158730158730157,0.4941860465116279,0.34838709677419355,0.5133333333333333,0.5053191489361702,0.3567567567567568,0.5170068027210885,0.7575757575757576,0.6684782608695652,0.6476683937823834,0.7049180327868853,0.7333333333333333,0.6140350877192983,0.6411483253588517,0.5520833333333334,0.6697247706422018,0.5860215053763441,0.5396825396825397,0.6363636363636364,0.5544730115617129
Baseline 2: pre-trained model,0.5814977973568282,0.5191256830601093,0.6197183098591549,0.6096256684491979,0.6976744186046512,0.6173469387755102,0.5723270440251572,0.4227405247813411,0.5945945945945946,0.5491071428571429,0.6363636363636364,0.503968253968254,0.5406976744186046,0.6645161290322581,0.5133333333333333,0.5159574468085106,0.5405405405405406,0.5170068027210885,0.7575757575757576,0.7282608695652174,0.7409326424870466,0.73224043715847,0.6787878787878788,0.8304093567251462,0.7033492822966507,0.796875,0.6834862385321101,0.7473118279569892,0.5767195767195767,0.6470588235294118,0.6279716543628057
M-EMG,0.5814977973568282,0.5245901639344263,0.6384976525821596,0.3850267379679144,0.6744186046511628,0.5663265306122449,0.2672955974842767,0.39941690962099125,0.29343629343629346,0.5491071428571429,0.5968379446640316,0.35714285714285715,0.2616279069767442,0.32903225806451614,0.29333333333333333,0.5425531914893617,0.34594594594594597,0.5170068027210885,0.696969696969697,0.657608695652174,0.7046632124352331,0.7103825136612022,0.5393939393939394,0.6198830409356725,0.7511961722488039,0.625,0.6422018348623854,0.6290322580645161,0.4708994708994709,0.6096256684491979,0.5259983391471204
