,fa_131,fa_132,fa_111_rotation_integral,avg
"Baseline 1: no pre-training, no meta training",0.7485029940119761,0.685459940652819,0.7009063444108762,0.7116230930252238
Baseline 2: pre-trained model,0.9401197604790419,0.884272997032641,0.9697885196374623,0.931393759049715
M-EMG,0.9461077844311377,0.9406528189910979,0.9758308157099698,0.9541971397107352
