,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.06149732620320856,0.047082228116710874,0.05858930602957907,0.057829759584145546,0.060326472675656495,0.07018633540372671,0.9627092846270928,0.949947127247092,0.05464736104624007,0.041802388707926165,0.03639846743295019,0.03514684641309581,0.056657223796033995,0.04176516942474389,0.056051990251827784,0.040025823111684955,0.04473684210526316,0.049166666666666664,0.03471196454948301,0.042244224422442245,0.045425867507886436,0.07043189368770764,0.026646928201332347,0.04623044096728307,0.042898550724637684,0.029132362254591513,0.034444444444444444,0.020287958115183247,0.04303147077713552,0.05194805194805195,0.10706669254812747
Baseline 2: pre-trained model,0.9524064171122995,0.9648541114058355,0.947098976109215,0.9389213775178687,0.9638041163946061,0.9416149068322981,0.982496194824962,0.9404300317236517,0.9602989257356376,0.9522258414766558,0.9559386973180076,0.9431872893596533,0.9617563739376771,0.970843183609141,0.9805036555645816,0.9567462879276953,0.9532894736842106,0.9533333333333334,0.965288035450517,0.9650165016501651,0.9596214511041009,0.9634551495016611,0.9600296076980015,0.9665718349928877,0.9501449275362319,0.9620012666244458,0.965,0.9515706806282722,0.9421965317919075,0.964935064935065,0.957852674859353
M-EMG,0.9561497326203209,0.9529177718832891,0.9340159271899886,0.9317738791423001,0.9439318665720369,0.9652173913043478,0.9809741248097412,0.9397250616848783,0.9383465670247548,0.9603691639522258,0.9573754789272031,0.9244102070293693,0.9468838526912181,0.9724192277383766,0.9650690495532088,0.9644932214331827,0.9506578947368421,0.9758333333333333,0.9231905465288035,0.9610561056105611,0.9589905362776026,0.9641196013289036,0.9570688378978535,0.9679943100995733,0.9814492753623189,0.9449018366054465,0.9588888888888889,0.9404450261780105,0.9736673089274245,0.9727272727272728,0.9555021099353094
