,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.54364896073903,0.4711904065516233,0.5179220779220779,0.4982177131889224,0.4857408555486671,0.5379369138959932,0.48226950354609927,0.38731023744647725,0.47606187085686225,0.6179841897233201,0.45905126568815147,0.6555811656239711,0.6852686308492201,0.718320057929037,0.6195190947666195,0.5047075606276747,0.5837303041407109,0.6012779552715655,0.5532329988851727,0.563181148748159,0.5350058343057176,0.5308682733575437,0.5028588624736684,0.5198089350941275,0.5375979112271541,0.561090458488228,0.5015239678581325,0.5012448132780083,0.5112452002194185,0.5401171437328053
Baseline 2: pre-trained model,0.7184757505773672,0.6270839426732963,0.5327272727272727,0.7131889224019742,0.6320520768753874,0.6962205171923842,0.5833333333333334,0.6181393538341767,0.6196906457156887,0.7820158102766799,0.5313763029142735,0.9176819229502798,0.7521663778162911,0.7936278059377263,0.8302687411598303,0.7703281027104137,0.8035910589959692,0.7891373801916933,0.6162207357859532,0.6833578792341679,0.7616686114352392,0.7510729613733905,0.7023773698465242,0.7662264681090194,0.8261096605744125,0.7524163568773234,0.685508451094486,0.4827109266943292,0.7613823368074603,0.706901968141943
M-EMG,0.7277136258660508,0.7522667446621819,0.6963636363636364,0.7046887853029887,0.7389956602603843,0.7411196362603012,0.6382978723404256,0.7107824056052939,0.597839430395286,0.8286561264822134,0.6362476068921507,0.8406322028317419,0.9102253032928943,0.836350470673425,0.7683168316831683,0.8587731811697575,0.880908757786735,0.829073482428115,0.6923076923076923,0.7655375552282768,0.7765460910151692,0.8243644767249918,0.7995786939512489,0.7960101152008991,0.8731070496083551,0.7732342007434945,0.7389858686616791,0.7709543568464731,0.7915523861766319,0.7689458705779884
