,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.54364896073903,0.4708979233694063,0.5179220779220779,0.4979435152179874,0.48543087414755115,0.5376527422563229,0.48212174940898345,0.3871156091864539,0.5440707095506997,0.4549407114624506,0.4324611784726654,0.675008231807705,0.6734835355285962,0.7085445329471397,0.6738330975954738,0.5112696148359487,0.6449248809087578,0.6009584664536741,0.5529542920847269,0.563181148748159,0.5347141190198367,0.5318586992406735,0.5028588624736684,0.5198089350941275,0.5375979112271541,0.561090458488228,0.5098365198115822,0.5009681881051176,0.5139879319802523,0.5403822578649811
Baseline 2: pre-trained model,0.7452655889145496,0.7066393682363264,0.7555844155844156,0.7134631203729093,0.6184128952262864,0.6945154873543621,0.6217494089834515,0.5527442584663294,0.5541369997544807,0.7723320158102767,0.5541374175707297,0.7606190319394139,0.7400346620450606,0.7563359884141926,0.8166902404526167,0.7340941512125535,0.7101502381824845,0.7539936102236422,0.6482720178372352,0.6586156111929308,0.7747957992998833,0.7507428194123473,0.7276557327715919,0.6735037932003372,0.7689295039164491,0.7244114002478315,0.7506234413965087,0.5322268326417704,0.7613823368074603,0.7011054547402907
M-EMG,0.7039260969976905,0.7502193623866628,0.7322077922077922,0.7672059226761722,0.791692498450093,0.7061665245808468,0.6152482269503546,0.7794861813935383,0.5831082739995089,0.8201581027667985,0.6092320782812167,0.7533750411590385,0.9005199306759099,0.7729905865314989,0.8356435643564356,0.8319543509272468,0.9014290949065592,0.8271565495207668,0.5178372352285395,0.7637702503681885,0.7476662777129521,0.8412017167381974,0.7959674992476677,0.8572632762011801,0.902088772845953,0.7273853779429987,0.5605430867276254,0.7355463347164592,0.8093801426220516,0.7565644879006878
