,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.501123595505618,0.4209039548022599,0.4722921914357683,0.45490716180371354,0.43283582089552236,0.48626373626373626,0.46734397677793904,0.42490494296577946,0.48867699642431467,0.5714285714285714,0.5077720207253886,0.6313291139240507,0.6372712146422629,0.5892547660311959,0.6292749658002736,0.5917241379310345,0.643859649122807,0.5523076923076923,0.5067385444743935,0.5092460881934566,0.5183098591549296,0.580952380952381,0.6574746008708273,0.47146739130434784,0.6379746835443038,0.5342960288808665,0.4517426273458445,0.4538152610441767,0.46419098143236076,0.5272304467581317
Baseline 2: pre-trained model,0.6247191011235955,0.617231638418079,0.6183879093198993,0.6843501326259946,0.608955223880597,0.6428571428571429,0.5362844702467344,0.5370722433460076,0.4684147794994041,0.5801158301158301,0.5689119170984456,0.7420886075949367,0.6955074875207987,0.6533795493934142,0.6963064295485636,0.7655172413793103,0.6596491228070176,0.8046153846153846,0.6805929919137467,0.561877667140825,0.7661971830985915,0.819047619047619,0.706821480406386,0.6494565217391305,0.6189873417721519,0.6341756919374247,0.6769436997319035,0.2784471218206158,0.5384615384615384,0.6357025196021066
M-EMG,0.6910112359550562,0.7330508474576272,0.6926952141057935,0.596816976127321,0.6328358208955224,0.6043956043956044,0.6364296081277213,0.6283269961977186,0.5232419547079857,0.7123552123552124,0.5699481865284974,0.7041139240506329,0.7387687188019967,0.6741767764298093,0.6662106703146374,0.8275862068965517,0.7140350877192982,0.8384615384615385,0.6536388140161725,0.6116642958748222,0.7281690140845071,0.8904761904761904,0.7590711175616836,0.8043478260869565,0.850632911392405,0.6762936221419976,0.8605898123324397,0.5287817938420348,0.7042440318302388,0.6983575865230336
