,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5245535714285714,0.45098039215686275,0.49625,0.4776315789473684,0.46597633136094674,0.5149863760217984,0.4718208092485549,0.3752362948960302,0.42011834319526625,0.5834932821497121,0.4840370751802266,0.700626959247649,0.7347611202635914,0.7495711835334476,0.5807327001356852,0.48153214774281805,0.4618055555555556,0.573170731707317,0.5320855614973262,0.538787023977433,0.5111731843575419,0.6918238993710691,0.5496402877697841,0.49865229110512127,0.6796482412060302,0.5412186379928315,0.48271276595744683,0.4820717131474104,0.4921052631578947,0.5361104593900444
Baseline 2: pre-trained model,0.6774553571428571,0.6386554621848739,0.63,0.5618421052631579,0.514792899408284,0.6212534059945504,0.5361271676300579,0.5746691871455577,0.4804733727810651,0.5652591170825336,0.5746652935118435,0.6880877742946708,0.7907742998352554,0.7118353344768439,0.655359565807327,0.6566347469220246,0.7552083333333334,0.6859756097560976,0.6671122994652406,0.691114245416079,0.7360335195530726,0.5880503144654088,0.7309352517985611,0.8908355795148248,0.8253768844221105,0.7335722819593787,0.788563829787234,0.50199203187251,0.743421052631579,0.6626233214984942
M-EMG,0.6808035714285714,0.6274509803921569,0.5375,0.6,0.5488165680473372,0.5790190735694822,0.5939306358381503,0.5614366729678639,0.4319526627218935,0.5287907869481766,0.5314109165808445,0.6974921630094044,0.728171334431631,0.7186963979416809,0.6635006784260515,0.6894664842681258,0.7309027777777778,0.6219512195121951,0.6550802139037433,0.5726375176304654,0.5824022346368715,0.6965408805031447,0.7294964028776978,0.72911051212938,0.8831658291457286,0.7383512544802867,0.538563829787234,0.7224435590969456,0.6552631578947369,0.6404947695154336
