,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p7_121,p7_141,p7_112,p7_122,p7_132,p7_142,avg
"Baseline 1: no pre-training, no meta training",0.6690997566909975,0.5425531914893617,0.5434173669467787,0.5062972292191436,0.765625,0.6428571428571429,0.513953488372093,0.9080717488789237,0.5686746987951807,0.78,0.9129287598944591,0.8783783783783784,0.685988063460205
Baseline 2: pre-trained model,0.851581508515815,0.75,0.834733893557423,0.8413098236775819,0.871875,0.7771428571428571,0.7627906976744186,0.8856502242152466,0.8867469879518072,0.8133333333333334,0.8839050131926122,0.8108108108108109,0.8308233458393254
M-EMG,0.7907542579075426,0.7898936170212766,0.7983193277310925,0.8413098236775819,0.896875,0.84,0.9093023255813953,0.8251121076233184,0.8987951807228916,0.8844444444444445,0.8390501319261213,0.8040540540540541,0.8431591892241433
