,p1_112,p1_122,p1_132,p1_142,p3_112,p3_122,p3_132,p3_142,p4_112,p4_122,p4_132,p4_142,p7_112,p7_122,p7_132,p7_142,p8_112,p8_122,p8_132,p8_142,avg
"Baseline 1: no pre-training, no meta training",0.6298815822625347,0.5179961089494164,0.521251629726206,0.5499283325370282,0.5733236854799807,0.5877126174155877,0.6275178184071893,0.6350076103500761,0.5985685071574642,0.6539792387543253,0.6438809261300992,0.5071482317531979,0.6254088050314466,0.5884802220680083,0.6363636363636364,0.6458724202626641,0.7299025578562729,0.5647244924861587,0.4770189561152947,0.49257232212666147,0.5903269850616624
Baseline 2: pre-trained model,0.7767699672461578,0.5960603112840467,0.6221642764015646,0.6127568084089823,0.6893391220453449,0.822036049758822,0.7226526185311435,0.750076103500761,0.6552147239263804,0.5640138408304498,0.6842337375964719,0.6062829194883371,0.8193710691823899,0.7318991441128846,0.8734457032329372,0.8079268292682927,0.7149817295980512,0.7442657527023464,0.5458322513632823,0.6729215532968464,0.7006122255887747
M-EMG,0.7210884353741497,0.5235894941634242,0.5679269882659713,0.5492116579073101,0.6324167872648335,0.8139121604468139,0.7765726681127982,0.7732115677321156,0.7010224948875255,0.7670733928246221,0.7214994487320838,0.6215199398043642,0.8329559748427673,0.8454776775387463,0.8798010500138159,0.7638367729831145,0.8151644336175395,0.7896124439757448,0.643209555959491,0.6601511597602293,0.719962705210373
