,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5814977973568282,0.5191256830601093,0.6666666666666666,0.5561497326203209,0.6802325581395349,0.6479591836734694,0.44025157232704404,0.5451895043731778,0.5096525096525096,0.5491071428571429,0.5573122529644269,0.3333333333333333,0.46511627906976744,0.6838709677419355,0.5333333333333333,0.5691489361702128,0.4918918918918919,0.5170068027210885,0.6,0.5380434782608695,0.41450777202072536,0.6065573770491803,0.5151515151515151,0.6198830409356725,0.5741626794258373,0.4635416666666667,0.6513761467889908,0.489247311827957,0.43386243386243384,0.5294117647058824,0.5427530444882842
Baseline 2: pre-trained model,0.6211453744493393,0.48633879781420764,0.6103286384976526,0.5133689839572193,0.6686046511627907,0.6377551020408163,0.6163522012578616,0.577259475218659,0.640926640926641,0.6651785714285714,0.7193675889328063,0.5833333333333334,0.5872093023255814,0.7032258064516129,0.7466666666666667,0.6542553191489362,0.5135135135135135,0.673469387755102,0.7515151515151515,0.7445652173913043,0.7046632124352331,0.7650273224043715,0.7393939393939394,0.8830409356725146,0.7655502392344498,0.78125,0.7247706422018348,0.7849462365591398,0.6613756613756614,0.5989304812834224,0.6707776131449444
M-EMG,0.6079295154185022,0.4972677595628415,0.6338028169014085,0.5294117647058824,0.6511627906976745,0.6275510204081632,0.6383647798742138,0.49271137026239065,0.5791505791505791,0.6919642857142857,0.6798418972332015,0.5555555555555556,0.5697674418604651,0.6838709677419355,0.6866666666666666,0.601063829787234,0.6216216216216216,0.5170068027210885,0.7212121212121212,0.7391304347826086,0.7616580310880829,0.912568306010929,0.593939393939394,0.7894736842105263,0.8229665071770335,0.828125,0.7155963302752294,0.7419354838709677,0.42857142857142855,0.6470588235294118,0.6522315670183814
