,p1_112,p1_122,p1_132,p1_142,p3_112,p3_122,p3_132,p3_142,p4_112,p4_122,p4_132,p4_142,p7_112,p7_122,p7_132,p7_142,p8_112,p8_122,p8_132,p8_142,avg
"Baseline 1: no pre-training, no meta training",0.6220452848967405,0.5117731859682845,0.5145431145431145,0.5432011331444759,0.5664918970448046,0.5803459513662572,0.617943240768996,0.6254872563718141,0.4410931174089069,0.5156109005594658,0.4961832061068702,0.4509877003354454,0.5662111801242236,0.5554539217928196,0.5064050149904606,0.5623551228558182,0.7054589082183563,0.49700754618787407,0.4716739297615996,0.4278363776691536,0.5389053995057741
Baseline 2: pre-trained model,0.7718337894998756,0.45627102354637195,0.5688545688545689,0.5264400377714825,0.7199714013346044,0.7706192028077212,0.7738785474519377,0.7937031484257872,0.6829959514170041,0.6370691210972749,0.7007633587786259,0.5844204248975028,0.804472049689441,0.6716213126000458,0.7478877078222949,0.6363004172461753,0.7258548290341932,0.7798594847775175,0.6475262753140221,0.6254180602006689,0.6812880356283557
M-EMG,0.7243095297337646,0.5079288803459875,0.5817245817245817,0.576251180358829,0.6711153479504289,0.6966658310353472,0.7580103753433018,0.7319340329835082,0.729757085020243,0.6359862840642483,0.6933478735005453,0.5633619083115915,0.8079503105590062,0.691516121655614,0.898337421640774,0.7702828001854427,0.7126574685062987,0.6963309914129586,0.7451935401179185,0.6686390532544378,0.6930650308852414
