,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.21666666666666667,0.2569444444444444,0.2422360248447205,0.22875816993464052,0.27205882352941174,0.23648648648648649,0.23381294964028776,0.36619718309859156,0.2647058823529412,0.2619047619047619,0.3487179487179487,0.27906976744186046,0.21951219512195122,0.23728813559322035,0.30201342281879195,0.25170068027210885,0.25862068965517243,0.22727272727272727,0.24503311258278146,0.23076923076923078,0.25,0.2578125,0.2714285714285714,0.28,0.29375,0.21893491124260356,0.24342105263157895,0.2631578947368421,0.2875816993464052,0.2602019287080947
Baseline 2: pre-trained model,0.6833333333333333,0.5902777777777778,0.6024844720496895,0.5424836601307189,0.5514705882352942,0.5743243243243243,0.5431654676258992,0.5868544600938967,0.6411764705882353,0.638095238095238,0.5743589743589743,0.7054263565891473,0.6666666666666666,0.6694915254237288,0.6442953020134228,0.6938775510204082,0.6379310344827587,0.7651515151515151,0.6754966887417219,0.6503496503496503,0.7847222222222222,0.8125,0.7357142857142858,0.7333333333333333,0.79375,0.6923076923076923,0.7368421052631579,0.7105263157894737,0.7777777777777778,0.6694546479124256
M-EMG,0.6833333333333333,0.5902777777777778,0.5217391304347826,0.49673202614379086,0.5073529411764706,0.527027027027027,0.5467625899280576,0.568075117370892,0.6058823529411764,0.5428571428571428,0.5487179487179488,0.7054263565891473,0.6747967479674797,0.6864406779661016,0.6510067114093959,0.7074829931972789,0.646551724137931,0.696969696969697,0.6225165562913907,0.6293706293706294,0.7430555555555556,0.8046875,0.7785714285714286,0.7133333333333334,0.81875,0.7692307692307693,0.8421052631578947,0.743421052631579,0.7712418300653595,0.6601281453156335
