,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.54364896073903,0.4711904065516233,0.5181818181818182,0.4982177131889224,0.4857408555486671,0.5379369138959932,0.48226950354609927,0.38731023744647725,0.46722317701939603,0.5543478260869565,0.4588385449904276,0.716167270332565,0.6776429809358753,0.6596669080376538,0.6857142857142857,0.5035663338088445,0.6178087211432759,0.6012779552715655,0.5532329988851727,0.563181148748159,0.5350058343057176,0.5315285572796302,0.5028588624736684,0.5198089350941275,0.5375979112271541,0.561090458488228,0.5164865613743419,0.5012448132780083,0.5112452002194185,0.5413804032349345
Baseline 2: pre-trained model,0.679445727482679,0.6209417958467388,0.6885714285714286,0.6073485056210584,0.5654060756354619,0.680306905370844,0.56072695035461,0.5597508758271701,0.6700220967345937,0.7482213438735178,0.5177621782599446,0.8696081659532433,0.7386481802426343,0.776249094858798,0.8486562942008486,0.8017118402282454,0.6786368633198974,0.7153354632587859,0.6056298773690078,0.6235640648011782,0.6455659276546091,0.6896665566193463,0.7514294312368341,0.6600168586681652,0.720626631853786,0.729368029739777,0.7647547797173733,0.445643153526971,0.7904552934722984,0.6811748410448224
M-EMG,0.7812933025404157,0.7306229891781223,0.7033766233766233,0.765012338908692,0.792002479851209,0.7098607558965615,0.6458333333333334,0.6370182950564421,0.5170635894917751,0.7152173913043478,0.6168900233992768,0.8317418505103721,0.8357019064124783,0.8301955104996379,0.7920792079207921,0.8496433666191155,0.9109563942836204,0.8198083067092652,0.7165551839464883,0.7287187039764359,0.7753792298716453,0.8662925057774843,0.7992777610592838,0.8013486934532172,0.874934725848564,0.7670384138785625,0.6505957328899973,0.6965421853388658,0.7627537026878771,0.7559915346213967
