,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5991189427312775,0.5245901639344263,0.6901408450704225,0.5187165775401069,0.6802325581395349,0.6326530612244898,0.4748427672955975,0.5189504373177842,0.5444015444015444,0.5491071428571429,0.5770750988142292,0.4642857142857143,0.5581395348837209,0.6903225806451613,0.5466666666666666,0.5585106382978723,0.5243243243243243,0.5170068027210885,0.593939393939394,0.5543478260869565,0.5647668393782384,0.6612021857923497,0.5818181818181818,0.7309941520467836,0.6076555023923444,0.5520833333333334,0.6743119266055045,0.5806451612903226,0.4497354497354497,0.5989304812834224,0.5773171944951128
Baseline 2: pre-trained model,0.6387665198237885,0.5409836065573771,0.6901408450704225,0.5989304812834224,0.6686046511627907,0.6275510204081632,0.5817610062893082,0.4518950437317784,0.5444015444015444,0.59375,0.541501976284585,0.5952380952380952,0.6569767441860465,0.7548387096774194,0.6666666666666666,0.5372340425531915,0.5135135135135135,0.5170068027210885,0.7575757575757576,0.7771739130434783,0.8031088082901554,0.8852459016393442,0.7454545454545455,0.8713450292397661,0.7464114832535885,0.84375,0.7844036697247706,0.8172043010752689,0.6243386243386243,0.6524064171122995,0.6676059906772267
M-EMG,0.5814977973568282,0.5191256830601093,0.647887323943662,0.5187165775401069,0.6453488372093024,0.576530612244898,0.6194968553459119,0.4489795918367347,0.6023166023166023,0.5625,0.525691699604743,0.4801587301587302,0.5290697674418605,0.7032258064516129,0.6466666666666666,0.5319148936170213,0.6918918918918919,0.5170068027210885,0.703030303030303,0.6304347826086957,0.7253886010362695,0.7103825136612022,0.509090909090909,0.7017543859649122,0.7081339712918661,0.7291666666666666,0.6834862385321101,0.6559139784946236,0.48677248677248675,0.6577540106951871,0.6083111662417668
