,xw_111,im_112,jp_132,wx_111_rotation_non_integral,jp_111,as_111,p1_111_longitudinal_non_integral_0.5_2,p3_131_longitudinal_non_integral_0.5,si_111_translation_non_integral,as_132,avg
Baseline 1: pre-trained model,0.7859154929577464,0.4650602409638554,0.9083969465648855,0.9280397022332506,0.59846547314578,0.5051020408163265,0.596244131455399,0.43253968253968256,0.48129675810473815,0.8423645320197044,0.654342500080137
"Baseline 2: no pre-training, no meta training",0.9633802816901409,0.9036144578313253,0.8625954198473282,0.9652605459057072,0.9130434782608695,0.9795918367346939,0.704225352112676,0.5753968253968254,0.9600997506234414,0.9778325123152709,0.8805040460718278
M-EMG,0.8929577464788733,0.8240963855421687,0.8447837150127226,0.9528535980148883,0.8618925831202046,0.9362244897959183,0.676056338028169,0.5158730158730159,0.9301745635910225,0.812807881773399,0.8247720317230384
