,xw_111,im_112,jp_132,wx_111_rotation_non_integral,jp_111,as_111,p1_111_longitudinal_non_integral_0.5_2,p3_131_longitudinal_non_integral_0.5,si_111_translation_non_integral,as_132,avg
Baseline 1: pre-trained model,0.9014084507042254,0.8867469879518072,0.7888040712468194,0.9578163771712159,0.9130434782608695,0.8647959183673469,0.6150234741784038,0.5515873015873016,0.8553615960099751,0.9359605911330049,0.8270548246610969
"Baseline 2: no pre-training, no meta training",0.9859154929577465,0.9108433734939759,0.905852417302799,0.9652605459057072,0.9462915601023018,0.9770408163265306,0.6197183098591549,0.5992063492063492,0.9625935162094763,0.896551724137931,0.8769274105501973
M-EMG,0.8253521126760563,0.8192771084337349,0.8244274809160306,0.9578163771712159,0.8618925831202046,0.9362244897959183,0.676056338028169,0.4880952380952381,0.9177057356608479,0.812807881773399,0.8119655345670814
