,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5814977973568282,0.5191256830601093,0.6009389671361502,0.4117647058823529,0.6046511627906976,0.5561224489795918,0.5471698113207547,0.40524781341107874,0.5173745173745173,0.5491071428571429,0.35968379446640314,0.32142857142857145,0.5348837209302325,0.5870967741935483,0.5133333333333333,0.5053191489361702,0.518918918918919,0.5170068027210885,0.5878787878787879,0.5217391304347826,0.5233160621761658,0.6229508196721312,0.6484848484848484,0.4269005847953216,0.6124401913875598,0.4010416666666667,0.5642201834862385,0.553763440860215,0.5185185185185185,0.5401069518716578,0.5224010767110128
Baseline 2: pre-trained model,0.5814977973568282,0.5191256830601093,0.6009389671361502,0.48128342245989303,0.6511627906976745,0.5816326530612245,0.5314465408805031,0.4227405247813411,0.5057915057915058,0.5491071428571429,0.45849802371541504,0.5476190476190477,0.5406976744186046,0.49032258064516127,0.5466666666666666,0.5319148936170213,0.5405405405405406,0.5170068027210885,0.7333333333333333,0.7282608695652174,0.7409326424870466,0.7213114754098361,0.7696969696969697,0.8128654970760234,0.7177033492822966,0.6979166666666666,0.7935779816513762,0.7204301075268817,0.5185185185185185,0.5721925133689839,0.6041577727536355
M-EMG,0.5814977973568282,0.5191256830601093,0.6009389671361502,0.4919786096256685,0.5232558139534884,0.5612244897959183,0.5566037735849056,0.4227405247813411,0.5366795366795367,0.5625,0.43478260869565216,0.5674603174603174,0.563953488372093,0.5225806451612903,0.58,0.5585106382978723,0.5405405405405406,0.5170068027210885,0.5757575757575758,0.5054347826086957,0.5854922279792746,0.6721311475409836,0.4727272727272727,0.6549707602339181,0.7081339712918661,0.4583333333333333,0.536697247706422,0.45698924731182794,0.4603174603174603,0.6203208556149733,0.5449562039882135
