,fa_131,fa_132,fa_111_rotation_integral,avg
"Baseline 1: no pre-training, no meta training",0.7485029940119761,0.685459940652819,0.7009063444108762,0.7116230930252238
Baseline 2: pre-trained model,0.9401197604790419,0.887240356083086,0.9697885196374623,0.9323828787331968
M-EMG,0.9461077844311377,0.9376854599406528,0.972809667673716,0.9522009706818356
