,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5248618784530387,0.4861111111111111,0.5217391304347826,0.3006535947712418,0.6131386861313869,0.5202702702702703,0.5827338129496403,0.4507042253521127,0.36470588235294116,0.1761904761904762,0.5408163265306123,0.6201550387596899,0.6666666666666666,0.6271186440677966,0.5771812080536913,0.5067567567567568,0.4444444444444444,0.6240601503759399,0.609271523178808,0.6293706293706294,0.7310344827586207,0.4573643410852713,0.4857142857142857,0.6466666666666666,0.7142857142857143,0.4911242603550296,0.5394736842105263,0.6052631578947368,0.5620915032679739,0.538619605257271
Baseline 2: pre-trained model,0.574585635359116,0.4305555555555556,0.4906832298136646,0.43137254901960786,0.6496350364963503,0.5135135135135135,0.564748201438849,0.5586854460093896,0.5941176470588235,0.6,0.5510204081632653,0.6666666666666666,0.6341463414634146,0.6864406779661016,0.6442953020134228,0.6486486486486487,0.6324786324786325,0.5939849624060151,0.8145695364238411,0.6713286713286714,0.7241379310344828,0.5968992248062015,0.7642857142857142,0.68,0.8260869565217391,0.650887573964497,0.6578947368421053,0.6710526315789473,0.7516339869281046,0.6301501868201843
M-EMG,0.5248618784530387,0.5277777777777778,0.5652173913043478,0.39215686274509803,0.48905109489051096,0.5067567567567568,0.48201438848920863,0.38967136150234744,0.5058823529411764,0.5238095238095238,0.49489795918367346,0.5813953488372093,0.6422764227642277,0.7033898305084746,0.6308724832214765,0.581081081081081,0.4444444444444444,0.7969924812030075,0.5827814569536424,0.6153846153846154,0.7862068965517242,0.689922480620155,0.7357142857142858,0.7933333333333333,0.5341614906832298,0.6568047337278107,0.5592105263157895,0.6447368421052632,0.8169934640522876,0.5930275712191557
