,fa_131,fa_132,fa_111_rotation_integral,avg
"Baseline 1: no pre-training, no meta training",0.7485029940119761,0.685459940652819,0.7009063444108762,0.7116230930252238
Baseline 2: pre-trained model,0.9311377245508982,0.8753709198813057,0.9697885196374623,0.9254323880232219
M-EMG,0.9670658682634731,0.9762611275964391,0.9909365558912386,0.9780878505837171
