,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5991189427312775,0.5245901639344263,0.6901408450704225,0.5187165775401069,0.6802325581395349,0.6326530612244898,0.4748427672955975,0.5189504373177842,0.5444015444015444,0.5491071428571429,0.5770750988142292,0.4642857142857143,0.5581395348837209,0.6903225806451613,0.5466666666666666,0.5585106382978723,0.5243243243243243,0.5170068027210885,0.593939393939394,0.5543478260869565,0.5647668393782384,0.6612021857923497,0.5818181818181818,0.7309941520467836,0.6076555023923444,0.5520833333333334,0.6743119266055045,0.5806451612903226,0.4497354497354497,0.5989304812834224,0.5773171944951128
Baseline 2: pre-trained model,0.6607929515418502,0.5737704918032787,0.7276995305164319,0.6256684491978609,0.6976744186046512,0.6275510204081632,0.5974842767295597,0.46647230320699706,0.555984555984556,0.6339285714285714,0.5770750988142292,0.6031746031746031,0.5755813953488372,0.7548387096774194,0.6733333333333333,0.5691489361702128,0.5513513513513514,0.5306122448979592,0.7454545454545455,0.6902173913043478,0.7253886010362695,0.8469945355191257,0.7575757575757576,0.8830409356725146,0.7655502392344498,0.859375,0.7889908256880734,0.8172043010752689,0.6666666666666666,0.6256684491978609,0.6724756496871582
M-EMG,0.5903083700440529,0.5191256830601093,0.6197183098591549,0.5508021390374331,0.6569767441860465,0.5816326530612245,0.5786163522012578,0.5306122448979592,0.5212355212355212,0.7232142857142857,0.6719367588932806,0.5833333333333334,0.6395348837209303,0.7032258064516129,0.7733333333333333,0.7287234042553191,0.7189189189189189,0.5306122448979592,0.6848484848484848,0.7391304347826086,0.7668393782383419,0.8797814207650273,0.7090909090909091,0.783625730994152,0.7559808612440191,0.734375,0.7064220183486238,0.7419354838709677,0.42857142857142855,0.7058823529411765,0.6619448163599156
