,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p7_121,p7_141,p7_112,p7_122,p7_132,p7_142,avg
"Baseline 1: no pre-training, no meta training",0.6690997566909975,0.5425531914893617,0.5434173669467787,0.5062972292191436,0.765625,0.6428571428571429,0.513953488372093,0.9080717488789237,0.5686746987951807,0.78,0.9129287598944591,0.8783783783783784,0.685988063460205
Baseline 2: pre-trained model,0.8540145985401459,0.7526595744680851,0.8375350140056023,0.8413098236775819,0.871875,0.78,0.7558139534883721,0.8856502242152466,0.8891566265060241,0.8133333333333334,0.8865435356200527,0.8175675675675675,0.8321216042851676
M-EMG,0.8321167883211679,0.8696808510638298,0.8151260504201681,0.8664987405541562,0.9,0.8314285714285714,0.872093023255814,0.8856502242152466,0.9156626506024096,0.8555555555555555,0.8839050131926122,0.8423423423423423,0.864171650912656
