,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,p8_111,p8_121,p8_141,p8_112,p8_122,p8_132,p8_142,avg
"Baseline 1: no pre-training, no meta training",0.48525469168900803,0.7725,0.5106888361045131,0.5459610027855153,0.5435356200527705,0.5523560209424084,0.3877551020408163,0.5049261083743842,0.5341772151898734,0.7485549132947977,0.45843828715365237,0.4987593052109181,0.40399002493765584,0.5343767021366396
Baseline 2: pre-trained model,0.546916890080429,0.6125,0.7078384798099763,0.4763231197771588,0.6675461741424802,0.824607329842932,0.4923469387755102,0.49507389162561577,0.5949367088607594,0.5838150289017341,0.5465994962216625,0.49627791563275436,0.5910224438902744,0.5873695705816375
M-EMG,0.4772117962466488,0.58,0.7054631828978623,0.47075208913649025,0.7915567282321899,0.819371727748691,0.5586734693877551,0.49507389162561577,0.6962025316455697,0.7687861271676301,0.6095717884130982,0.5012406947890818,0.6708229426433915,0.6265174592256941
