,p1_112,p1_122,p1_132,p1_142,p3_112,p3_122,p3_132,p3_142,p4_112,p4_122,p4_132,p4_142,p7_112,p7_122,p7_132,p7_142,p8_112,p8_122,p8_132,p8_142,avg
"Baseline 1: no pre-training, no meta training",0.6492819349962207,0.5179961089494164,0.5259452411994785,0.5499283325370282,0.67607332368548,0.6806296014216806,0.7744034707158352,0.719634703196347,0.49918200408997954,0.6483336368603169,0.5256890848952591,0.44168547780285927,0.6872955974842767,0.5618783252371039,0.7615363360044212,0.7699343339587242,0.7362971985383678,0.6021618771421039,0.5995845235003895,0.5780557727391191,0.6252763442477205
Baseline 2: pre-trained model,0.7762660619803476,0.39858949416342415,0.5997392438070405,0.5449116101290015,0.6956102267245537,0.8339680121858339,0.7775023241400681,0.7808219178082192,0.6683026584867076,0.6337643416499726,0.6992282249173098,0.5965011286681715,0.7818867924528302,0.6872542216053666,0.8604586902459243,0.8095684803001876,0.7746650426309378,0.7940943843923016,0.6548948325110361,0.6088089653375033,0.698841832706837
M-EMG,0.6885865457294029,0.5179961089494164,0.6117340286831813,0.5664118490205446,0.6922334780511337,0.693069306930693,0.7787418655097614,0.7333333333333333,0.6777096114519428,0.6814787834638499,0.6952590959206174,0.5011286681715575,0.7844025157232705,0.7353689567430025,0.9237358386294556,0.8304409005628518,0.6729598051157125,0.6472449248615871,0.6611269800051934,0.5407870732342976,0.6816874835045402
