,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5937846836847946,0.6592489568845619,0.6161490683229813,0.4849673202614379,0.6284875183553598,0.5859269282814614,0.5629949604031678,0.4355597365945437,0.5235294117647059,0.38108882521489973,0.5665983606557377,0.5427682737169518,0.6209150326797386,0.41836734693877553,0.5471698113207547,0.5733695652173914,0.5335628227194492,0.5234493192133132,0.6414342629482072,0.7072829131652661,0.6643550624133149,0.797191887675507,0.7185714285714285,0.6024096385542169,0.6816479400749064,0.48693586698337293,0.42932628797886396,0.6781002638522428,0.6287581699346405,0.5804810918752412
Baseline 2: pre-trained model,0.6226415094339622,0.4993045897079277,0.6298136645962733,0.24444444444444444,0.5770925110132159,0.5060893098782138,0.5932325413966882,0.5917215428033866,0.6776470588235294,0.6580706781279847,0.5307377049180327,0.6702954898911353,0.8627450980392157,0.6785714285714286,0.6576819407008087,0.6603260869565217,0.6454388984509466,0.7806354009077155,0.7436918990703851,0.7899159663865546,0.9056865464632455,0.8720748829953198,0.7871428571428571,0.8152610441767069,0.7340823970037453,0.7339667458432304,0.7291941875825627,0.6240105540897097,0.8196078431372549,0.6772801662949313
M-EMG,0.5837957824639289,0.6912378303198887,0.6658385093167701,0.40261437908496733,0.5844346549192364,0.6346414073071719,0.48236141108711306,0.4468485418626529,0.528235294117647,0.5711556829035339,0.5450819672131147,0.6220839813374806,0.6977124183006536,0.6921768707482994,0.6442048517520216,0.6630434782608695,0.6695352839931153,0.6384266263237519,0.7795484727755644,0.7913165266106442,0.8030513176144244,0.8892355694227769,0.8228571428571428,0.7576974564926372,0.6641697877652933,0.7114014251781473,0.4583883751651255,0.716358839050132,0.7333333333333333,0.6514064557785323
