,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5814977973568282,0.5191256830601093,0.6431924882629108,0.5401069518716578,0.6627906976744186,0.5510204081632653,0.5723270440251572,0.43440233236151604,0.6293436293436293,0.5580357142857143,0.6324110671936759,0.4642857142857143,0.5988372093023255,0.6451612903225806,0.6666666666666666,0.5478723404255319,0.6810810810810811,0.5170068027210885,0.5575757575757576,0.42934782608695654,0.7046632124352331,0.5628415300546448,0.48484848484848486,0.47368421052631576,0.645933014354067,0.6979166666666666,0.6422018348623854,0.6075268817204301,0.4444444444444444,0.5721925133689839,0.575611376511608
Baseline 2: pre-trained model,0.6651982378854625,0.5519125683060109,0.7183098591549296,0.5561497326203209,0.6627906976744186,0.6122448979591837,0.6320754716981132,0.5860058309037901,0.7027027027027027,0.6428571428571429,0.7114624505928854,0.5753968253968254,0.6918604651162791,0.6645161290322581,0.7133333333333334,0.5159574468085106,0.6594594594594595,0.5306122448979592,0.8,0.7336956521739131,0.7150259067357513,0.8306010928961749,0.7393939393939394,0.8713450292397661,0.7559808612440191,0.859375,0.7660550458715596,0.7473118279569892,0.6455026455026455,0.6577540106951871,0.6838295502703177
M-EMG,0.5859030837004405,0.5409836065573771,0.6901408450704225,0.5721925133689839,0.6511627906976745,0.6479591836734694,0.660377358490566,0.5160349854227405,0.5598455598455598,0.7589285714285714,0.7114624505928854,0.5992063492063492,0.7616279069767442,0.7483870967741936,0.8,0.7925531914893617,0.6270270270270271,0.6326530612244898,0.5696969696969697,0.6793478260869565,0.6787564766839378,0.6666666666666666,0.6,0.783625730994152,0.8325358851674641,0.7916666666666666,0.7431192660550459,0.7688172043010753,0.5238095238095238,0.6577540106951871,0.6717413936123502
