,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5089285714285714,0.42997198879551823,0.48125,0.45921052631578946,0.4423076923076923,0.49591280653950953,0.4624277456647399,0.3629489603024575,0.48757396449704143,0.6746641074856046,0.49433573635427397,0.6489028213166145,0.6836902800658978,0.6946826758147513,0.5753052917232022,0.466484268125855,0.4496527777777778,0.551829268292683,0.5120320855614974,0.5190409026798307,0.4958100558659218,0.6650943396226415,0.5971223021582733,0.4784366576819407,0.6293969849246231,0.5244922341696535,0.4627659574468085,0.46082337317397076,0.4723684210526316,0.5237056136946818
Baseline 2: pre-trained model,0.5245535714285714,0.5322128851540616,0.65625,0.5144736842105263,0.5739644970414202,0.5286103542234333,0.541907514450867,0.5274102079395085,0.493491124260355,0.5508637236084453,0.5664263645726055,0.7053291536050157,0.6622734761120264,0.6723842195540308,0.7042062415196744,0.6443228454172366,0.5746527777777778,0.7439024390243902,0.679144385026738,0.7221438645980254,0.7416201117318436,0.7012578616352201,0.7093525179856115,0.5768194070080862,0.8077889447236181,0.6356033452807647,0.7034574468085106,0.44621513944223107,0.6486842105263158,0.6237697349885141
M-EMG,0.7209821428571429,0.680672268907563,0.61375,0.5828947368421052,0.5473372781065089,0.5762942779291553,0.5679190751445087,0.6408317580340265,0.5337278106508876,0.772552783109405,0.5550978372811535,0.8056426332288401,0.7413509060955519,0.6723842195540308,0.6757123473541384,0.7824897400820794,0.7291666666666666,0.8109756097560976,0.6724598930481284,0.6572637517630465,0.7402234636871509,0.8459119496855346,0.7683453237410072,0.8086253369272237,0.8165829145728644,0.7144563918757467,0.8404255319148937,0.5431606905710491,0.7934210526315789,0.6969192548971754
