,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p4_111,p4_121,p4_141,p4_112,p4_122,p4_132,p4_142,avg
"Baseline 1: no pre-training, no meta training",0.7414330218068536,0.4477124183006536,0.6258503401360545,0.545,0.8125,0.496551724137931,0.5128865979381443,0.6100478468899522,0.403899721448468,0.5889328063241107,0.5361552028218695,0.47558386411889597,0.4972677595628415,0.5610631771912135
Baseline 2: pre-trained model,0.4143302180685358,0.4869281045751634,0.4931972789115646,0.545,0.4701086956521739,0.44482758620689655,0.5128865979381443,0.6100478468899522,0.6016713091922006,0.4209486166007905,0.49559082892416223,0.4734607218683652,0.4335154826958106,0.49250102211721225
M-EMG,0.7040498442367601,0.6862745098039216,0.7721088435374149,0.7625,0.7309782608695652,0.7206896551724138,0.75,0.7057416267942583,0.6155988857938719,0.6324110671936759,0.689594356261023,0.7537154989384289,0.5828779599271403,0.700503116040652
