,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.6969976905311779,0.47294530564492543,0.6431168831168831,0.5198793528927886,0.4857408555486671,0.5893719806763285,0.48226950354609927,0.38731023744647725,0.5241836484164006,0.3725296442687747,0.5500957243139758,0.6954231149160356,0.49913344887348354,0.666908037653874,0.41471004243281473,0.5489300998573466,0.6991572004397215,0.6012779552715655,0.5532329988851727,0.563181148748159,0.5355892648774796,0.5440739517992736,0.5154980439362022,0.7504917111548187,0.5587467362924282,0.5643122676579926,0.5768911055694098,0.5853388658367912,0.5608886450905102,0.5571801884722613
Baseline 2: pre-trained model,0.6755196304849884,0.7344252705469435,0.6485714285714286,0.6482040032903756,0.6587104773713577,0.662972435350952,0.5893912529550828,0.4743090696769171,0.6086422784188559,0.6027667984189723,0.6575196766645395,0.8324003951267699,0.8291161178509532,0.7523533671252716,0.7473833097595474,0.7409415121255349,0.7629168193477465,0.7348242811501597,0.6783723522853957,0.6403534609720176,0.7698366394399067,0.7794651700231099,0.7083960276858261,0.7544254003933689,0.7310704960835509,0.6423791821561339,0.7290108063175395,0.5515905947441218,0.6889742183214481,0.6908566369882351
M-EMG,0.6769053117782909,0.7218484937116115,0.732987012987013,0.6920756786399781,0.8360198388096715,0.691389599317988,0.671838061465721,0.5893343713507201,0.4964399705376872,0.6146245059288538,0.6319931929376729,0.7971682581494897,0.8873483535528596,0.7711803041274439,0.7239038189533239,0.7489300998573466,0.8592891168926347,0.8731629392971246,0.7271460423634337,0.7820324005891016,0.7698366394399067,0.8735556289204358,0.7860367138128197,0.8232649620679966,0.8046997389033943,0.7288723667905824,0.571072319201995,0.5925311203319502,0.8085573230938015,0.7339325580624432
