,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.528395061728395,0.4545711060948081,0.5016352201257862,0.4817073170731707,0.46762160549089826,0.5194840834248079,0.47352386479036707,0.3781113433403002,0.4230585993330157,0.49951783992285437,0.4235391628677994,0.4674256799493991,0.6029900332225914,0.686525805334257,0.4491803278688525,0.48622589531680444,0.46741415557112825,0.5781874039938556,0.5346081335847024,0.5431818181818182,0.5161835068955812,0.5104629042485732,0.48462877030162416,0.502171552660152,0.520606826801517,0.5442307692307692,0.4847348687734333,0.4844919786096257,0.494298594537258,0.5003004906646257
Baseline 2: pre-trained model,0.6208754208754209,0.5595372460496614,0.5891823899371069,0.4984093319194062,0.5392420173082662,0.5738199780461032,0.554475554910779,0.5052251567547026,0.5736064792758456,0.717261330761813,0.5207210940737671,0.6862745098039216,0.7282392026578073,0.6920678905438171,0.5800546448087431,0.6958677685950413,0.681499649614576,0.7935483870967742,0.5324535416105575,0.7193181818181819,0.7205178722206586,0.8668357641090678,0.7621809744779582,0.7182410423452769,0.7120101137800253,0.7189903846153847,0.6376539903588645,0.6927807486631016,0.7088305489260143,0.6517145246882289
M-EMG,0.6821548821548822,0.7028781038374717,0.6583647798742138,0.6105514316012726,0.5484929871680095,0.6682217343578485,0.6004642390831278,0.6186585597567927,0.5588375416865173,0.6752169720347155,0.5801906340654787,0.7912713472485768,0.8036544850498338,0.7260131624523727,0.6841530054644809,0.8110192837465565,0.7810091100210231,0.9038402457757296,0.6943172636681928,0.6900568181818182,0.7250211089220377,0.8658845909955611,0.898491879350348,0.8338762214983714,0.8890012642225031,0.7377403846153846,0.7806641671130156,0.7040106951871657,0.7197029965526386,0.7221986170926187
