,p1_112,p1_122,p1_132,p1_142,p3_112,p3_122,p3_132,p3_142,p4_112,p4_122,p4_132,p4_142,p7_112,p7_122,p7_132,p7_142,p8_112,p8_122,p8_132,p8_142,avg
"Baseline 1: no pre-training, no meta training",0.6220452848967405,0.511532916866891,0.5145431145431145,0.5434372049102927,0.5664918970448046,0.5803459513662572,0.617943240768996,0.6254872563718141,0.4410931174089069,0.5148890092041147,0.4961832061068702,0.4562057398434588,0.5582608695652174,0.5554539217928196,0.5077677841373671,0.6096430227167362,0.6250749850029994,0.5344782721831902,0.4765444757754422,0.4278363776691536,0.5392628824087594
Baseline 2: pre-trained model,0.738740980343369,0.5264296011532917,0.5593307593307594,0.5686968838526912,0.7104385128693994,0.6811230884933567,0.7659444613976197,0.7517241379310344,0.6755060728744939,0.6807435480960116,0.7011995637949836,0.543421543048826,0.8370186335403726,0.8150011433798308,0.8874352684655219,0.7436254056560037,0.7918416316736653,0.8071818891491023,0.6024096385542169,0.6892204785181374,0.7038516621061345
M-EMG,0.7041552625031102,0.5170591061989428,0.5534105534105535,0.5712936732766761,0.6775500476644424,0.6908999749310604,0.7351235886481537,0.7274362818590705,0.8204453441295546,0.625879805089334,0.6822246455834242,0.5115542303391726,0.7836024844720497,0.7251314886805397,0.9174161896974653,0.7974038015762633,0.6859628074385123,0.677855841790268,0.676236862342989,0.6210445073321328,0.6850843248481858
