,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5633333333333334,0.5933147632311978,0.5398009950248757,0.38481675392670156,0.5529411764705883,0.5121951219512195,0.6231988472622478,0.5734463276836158,0.5618374558303887,0.6042065009560229,0.5117948717948718,0.6728971962616822,0.6939443535188216,0.7035775127768313,0.6707152496626181,0.6693877551020408,0.6741379310344827,0.8560606060606061,0.8643617021276596,0.7657784011220197,0.8694444444444445,0.7625,0.6738197424892703,0.514745308310992,0.77625,0.544589774078478,0.5383597883597884,0.4702774108322325,0.47774869109947643,0.6282580005085002
Baseline 2: pre-trained model,0.5511111111111111,0.6323119777158774,0.5398009950248757,0.31675392670157065,0.4235294117647059,0.4986449864498645,0.5468299711815562,0.4284369114877589,0.591283863368669,0.5841300191204589,0.5794871794871795,0.8348909657320872,0.7970540098199672,0.676320272572402,0.6909581646423751,0.7020408163265306,0.6517241379310345,0.7575757575757576,0.5797872340425532,0.5596072931276297,0.8513888888888889,0.83125,0.7753934191702432,0.8284182305630027,0.66875,0.8656361474435196,0.6798941798941799,0.5891677675033025,0.6204188481675392,0.6431929823039532
M-EMG,0.76,0.7367688022284122,0.6405472636815921,0.3756544502617801,0.6176470588235294,0.5948509485094851,0.5857348703170029,0.564030131826742,0.6054181389870436,0.6634799235181644,0.5446153846153846,0.8660436137071651,0.7086743044189853,0.7035775127768313,0.6977058029689609,0.6666666666666666,0.6310344827586207,0.8196969696969697,0.6462765957446809,0.7517531556802244,0.8916666666666667,0.9171875,0.7682403433476395,0.7466487935656837,0.67,0.797859690844233,0.671957671957672,0.5178335535006605,0.6086387434554974,0.6817313462250447
