,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.54364896073903,0.4711904065516233,0.5758441558441558,0.4982177131889224,0.4857408555486671,0.5379369138959932,0.48226950354609927,0.38731023744647725,0.43604222931500125,0.5339920948616601,0.4413954477770687,0.73822851498189,0.4998266897746967,0.6683562635771181,0.6973125884016973,0.5035663338088445,0.48882374496152436,0.6012779552715655,0.5532329988851727,0.563181148748159,0.5350058343057176,0.5315285572796302,0.5028588624736684,0.6136555212138242,0.5375979112271541,0.561090458488228,0.6209476309226932,0.5012448132780083,0.5112452002194185,0.538709294708059
Baseline 2: pre-trained model,0.7046189376443418,0.674758701374671,0.6662337662337663,0.5908966273649575,0.5979541227526348,0.6646774651889742,0.5741725768321513,0.602374464772285,0.6646206727228088,0.5887351778656127,0.6639012975962562,0.8054000658544617,0.798266897746967,0.7527154236060826,0.7386138613861386,0.7432239657631954,0.7339684866251374,0.818849840255591,0.6518952062430323,0.6662739322533137,0.6858226371061844,0.8171013535820403,0.8055973517905507,0.7864568699072774,0.8086161879895561,0.7789343246592317,0.7761152673870878,0.5219917012448133,0.7312122874382886,0.7039310162478418
M-EMG,0.6163972286374134,0.7844398947060544,0.7755844155844156,0.7540444200712915,0.8096714197148172,0.7129866439329355,0.6765661938534279,0.5957571039314908,0.5200098207709305,0.7697628458498024,0.6166773027015529,0.8551201843924926,0.8478336221837088,0.8215061549601738,0.8254596888260255,0.8219686162624822,0.8842066691095639,0.8635782747603834,0.5749721293199554,0.7767304860088365,0.8217619603267211,0.8705843512710465,0.8444176948540475,0.8800224782242203,0.9101827676240208,0.6711276332094176,0.6885563868107509,0.5648686030428769,0.6549643444871092,0.7520606667388955
