,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.4966139954853273,0.4147727272727273,0.4670886075949367,0.44666666666666666,0.42792792792792794,0.48066298342541436,0.4861717612809316,0.46469465648854963,0.5161676646706587,0.5416666666666666,0.5150884495317378,0.6512738853503185,0.7303182579564489,0.6736474694589878,0.6396148555708391,0.5312066574202496,0.5353356890459364,0.5356037151702786,0.5013550135501355,0.5035765379113019,0.5014164305949008,0.5255591054313099,0.6364963503649635,0.46584699453551914,0.6348600508905853,0.5114873035066505,0.44878706199460916,0.44818304172274565,0.45866666666666667,0.523819213591517
Baseline 2: pre-trained model,0.5575620767494357,0.5639204545454546,0.6683544303797468,0.5773333333333334,0.512012012012012,0.5814917127071824,0.5327510917030568,0.4818702290076336,0.5341317365269461,0.6676356589147286,0.6077003121748179,0.6464968152866242,0.6180904522613065,0.6457242582897034,0.6685006877579092,0.6158113730929264,0.5388692579505301,0.7972136222910217,0.6802168021680217,0.670958512160229,0.7379603399433428,0.6485623003194888,0.7036496350364964,0.610655737704918,0.72264631043257,0.656590084643289,0.6630727762803235,0.4306864064602961,0.5266666666666666,0.6161081064413796
M-EMG,0.7336343115124153,0.7670454545454546,0.6354430379746835,0.6226666666666667,0.5705705705705706,0.5138121546961326,0.604075691411936,0.6240458015267175,0.5568862275449101,0.6744186046511628,0.554630593132154,0.7659235668789809,0.7839195979899497,0.7015706806282722,0.6478679504814305,0.7905686546463245,0.7031802120141343,0.8235294117647058,0.6720867208672087,0.6924177396280401,0.6983002832861189,0.7603833865814696,0.672992700729927,0.7090163934426229,0.8676844783715013,0.7315598548972189,0.7749326145552561,0.5181695827725438,0.7826666666666666,0.6880689520839715
