,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.4111111111111111,0.5594405594405595,0.65625,0.5131578947368421,0.6397058823529411,0.5850340136054422,0.4584837545126354,0.5094339622641509,0.5266272189349113,0.69377990430622,0.5794871794871795,0.4921875,0.7868852459016393,0.6837606837606838,0.7027027027027027,0.6394557823129252,0.603448275862069,0.44696969696969696,0.7333333333333333,0.6267605633802817,0.8263888888888888,0.90625,0.8920863309352518,0.7181208053691275,0.61875,0.6190476190476191,0.543046357615894,0.8675496688741722,0.743421052631579,0.6407819306323399
Baseline 2: pre-trained model,0.6111111111111112,0.6083916083916084,0.51875,0.4144736842105263,0.6985294117647058,0.6326530612244898,0.49458483754512633,0.5424528301886793,0.7159763313609467,0.6985645933014354,0.5846153846153846,0.5703125,0.8934426229508197,0.6666666666666666,0.6756756756756757,0.6190476190476191,0.5862068965517241,0.6060606060606061,0.86,0.8169014084507042,0.9097222222222222,0.9140625,0.8273381294964028,0.7718120805369127,0.71875,0.6130952380952381,0.6556291390728477,0.8278145695364238,0.7828947368421053,0.683983981548965
M-EMG,0.5722222222222222,0.5174825174825175,0.66875,0.42105263157894735,0.49264705882352944,0.5238095238095238,0.516245487364621,0.5801886792452831,0.6035502958579881,0.5023923444976076,0.5897435897435898,0.5546875,0.7377049180327869,0.7521367521367521,0.6148648648648649,0.6258503401360545,0.5086206896551724,0.6439393939393939,0.6933333333333334,0.8028169014084507,0.8680555555555556,0.78125,0.8201438848920863,0.8322147651006712,0.6875,0.6309523809523809,0.4503311258278146,0.5827814569536424,0.8618421052631579,0.6357624247819982
