,xw_111,im_112,jp_132,wx_111_rotation_non_integral,jp_111,as_111,p1_111_longitudinal_non_integral_0.5_2,p3_131_longitudinal_non_integral_0.5,si_111_translation_non_integral,as_132,avg
Baseline 1: pre-trained model,0.4084507042253521,0.40481927710843374,0.8549618320610687,0.4218362282878412,0.47570332480818417,0.4872448979591837,0.5821596244131455,0.3492063492063492,0.47381546134663344,0.7857142857142857,0.5243911985130476
"Baseline 2: no pre-training, no meta training",0.9633802816901409,0.8963855421686747,0.8422391857506362,0.9627791563275434,0.8976982097186701,0.9744897959183674,0.6244131455399061,0.623015873015873,0.9625935162094763,0.9729064039408867,0.8719901110280175
M-EMG,0.6563380281690141,0.3349397590361446,0.7251908396946565,0.8114143920595533,0.8286445012787724,0.8214285714285714,0.6056338028169014,0.30952380952380953,0.36658354114713215,0.770935960591133,0.6230633205745688
