,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5155555555555555,0.3008356545961003,0.4079601990049751,0.2094240837696335,0.4235294117647059,0.4254742547425474,0.1988472622478386,0.026365348399246705,0.17647058823529413,0.21606118546845124,0.2520491803278688,0.2897196261682243,0.238562091503268,0.24149659863945577,0.30727762803234504,0.20652173913043478,0.27241379310344827,0.44545454545454544,0.10106382978723404,0.44537815126050423,0.2777777777777778,0.159375,0.1457142857142857,0.5871313672922251,0.3425,0.23040380047505937,0.29894179894179895,0.5408970976253298,0.36387434554973824,0.2981750413988929
Baseline 2: pre-trained model,0.6577777777777778,0.6155988857938719,0.6119402985074627,0.5261780104712042,0.4441176470588235,0.5365853658536586,0.49279538904899134,0.5743879472693032,0.4894117647058824,0.4818355640535373,0.5409836065573771,0.6884735202492211,0.7058823529411765,0.7108843537414966,0.6522911051212938,0.657608695652174,0.6620689655172414,0.6909090909090909,0.6808510638297872,0.7086834733893558,0.7444444444444445,0.625,0.72,0.8203753351206434,0.8075,0.8028503562945368,0.7751322751322751,0.5857519788918206,0.824607329842932,0.6494802275232889
M-EMG,0.6177777777777778,0.6016713091922006,0.5323383084577115,0.5366492146596858,0.5352941176470588,0.5149051490514905,0.4812680115273775,0.583804143126177,0.49411764705882355,0.5105162523900574,0.5307377049180327,0.6978193146417445,0.6633986928104575,0.7142857142857143,0.660377358490566,0.6413043478260869,0.7103448275862069,0.7181818181818181,0.699468085106383,0.5518207282913166,0.7166666666666667,0.553125,0.6942857142857143,0.6595174262734584,0.59,0.7980997624703088,0.7248677248677249,0.6596306068601583,0.693717277486911,0.6236548517909527
