,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.053180212014134275,0.052286151826733754,0.06784439015222703,0.04863938290122134,0.057984568622866495,0.05595408895265423,0.03340055457524578,0.049304825330061926,0.046206150517694326,0.055057388809182206,0.04592968007602154,0.030254777070063694,0.05320886814469078,0.05679460580912863,0.051055867415129644,0.05133120340788072,0.056182212581344905,0.05506849315068493,0.05547445255474453,0.04746353146091879,0.04932362122788762,0.05566513258820951,0.04706169227017801,0.056493202062822316,0.02469844916714532,0.015040735324838104,0.03396364971543969,0.03560638757013379,0.051694915254237285,0.04197002141327623,0.04780464039889324
Baseline 2: pre-trained model,0.9611307420494699,0.9540581929555896,0.9607216688592369,0.9526462395543176,0.9607201309328969,0.959007993441279,0.9518527854802118,0.9457880593527281,0.9547210632050688,0.9549856527977044,0.9466265441875198,0.95828025477707,0.970828471411902,0.95798755186722,0.9684576316492917,0.9663471778487753,0.9635574837310196,0.9627397260273972,0.9569343065693431,0.9603744829087743,0.9508844953173777,0.9598948060486522,0.9565959522067788,0.9627285513361463,0.9628565958261536,0.9561311886358889,0.9599779695245089,0.9531722054380665,0.951271186440678,0.9498929336188436,0.957705734799997
M-EMG,0.958303886925795,0.952089258367972,0.9599699304641984,0.9453610456395972,0.9520692073883563,0.9565484730477557,0.9628182505671792,0.9419324687463488,0.95209395765724,0.9549856527977044,0.9474184352233133,0.9200636942675159,0.9537922987164528,0.9678423236514523,0.954557604918471,0.9501597444089457,0.9537960954446855,0.9523287671232876,0.9695863746958637,0.9677770520357065,0.9729448491155047,0.9647161954854263,0.9373323579614729,0.946319737458978,0.9708979513689451,0.9440150407353248,0.9744813658894804,0.9682779456193353,0.9485169491525424,0.9578158458244111,0.9552937586899753
