,fa_131,fa_132,fa_111_rotation_integral,avg
"Baseline 1: no pre-training, no meta training",0.7485029940119761,0.685459940652819,0.7009063444108762,0.7116230930252238
Baseline 2: pre-trained model,0.9311377245508982,0.8753709198813057,0.9697885196374623,0.9254323880232219
M-EMG,0.9491017964071856,0.9406528189910979,0.972809667673716,0.9541880943573332
