,p1_111_2,p1_111_longitudinal_non_integral_-0.5,p1_111_longitudinal_non_integral_0.5_2,p1_131,p1_131_longitudinal_non_integral_-0.5,p1_131_longitudinal_non_integral_0.5,p3_111,p3_111_longitudinal_non_integral_-0.5,p3_111_longitudinal_non_integral_0.5,p3_131,p3_131_longitudinal_non_integral_-0.5,p3_131_longitudinal_non_integral_0.5,p4_111_2,p4_111_longitudinal_non_integral_-0.5,p4_111_longitudinal_non_integral_0.5,p4_131,p4_131_longitudinal_non_integral_-0.5,p4_131_longitudinal_non_integral_0.5,p7_111,p7_111_longitudinal_non_integral_-0.5,p7_111_longitudinal_non_integral_0.5,p7_131,p7_131_longitudinal_non_integral_-0.5,p7_131_longitudinal_non_integral_0.5,p8_111_2,p8_111_longitudinal_non_integral_-0.5,p8_111_longitudinal_non_integral_0.5,p8_131,p8_131_longitudinal_non_integral_-0.5,p8_131_longitudinal_non_integral_0.5,avg
"Baseline 1: no pre-training, no meta training",0.5814977973568282,0.5191256830601093,0.6009389671361502,0.45454545454545453,0.6744186046511628,0.5918367346938775,0.5660377358490566,0.4198250728862974,0.5173745173745173,0.5491071428571429,0.45849802371541504,0.49206349206349204,0.5406976744186046,0.49032258064516127,0.5133333333333333,0.5053191489361702,0.5405405405405406,0.5170068027210885,0.6,0.46195652173913043,0.6062176165803109,0.644808743169399,0.7090909090909091,0.6783625730994152,0.6220095693779905,0.5052083333333334,0.5688073394495413,0.6129032258064516,0.5132275132275133,0.49732620320855614,0.5517469284955651
Baseline 2: pre-trained model,0.5814977973568282,0.5409836065573771,0.6056338028169014,0.4919786096256685,0.5232558139534884,0.5510204081632653,0.4339622641509434,0.4198250728862974,0.5444015444015444,0.5491071428571429,0.5296442687747036,0.40476190476190477,0.5523255813953488,0.49032258064516127,0.7,0.574468085106383,0.5405405405405406,0.5170068027210885,0.7636363636363637,0.6793478260869565,0.7202072538860104,0.7650273224043715,0.6424242424242425,0.783625730994152,0.7368421052631579,0.5052083333333334,0.6972477064220184,0.6290322580645161,0.455026455026455,0.7647058823529411,0.5897689102203036
M-EMG,0.5770925110132159,0.5136612021857924,0.647887323943662,0.44385026737967914,0.5523255813953488,0.5663265306122449,0.5628930817610063,0.44314868804664725,0.5868725868725869,0.6607142857142857,0.5968379446640316,0.6111111111111112,0.5581395348837209,0.4838709677419355,0.68,0.5106382978723404,0.5405405405405406,0.5170068027210885,0.6787878787878788,0.7282608695652174,0.772020725388601,0.8306010928961749,0.703030303030303,0.8362573099415205,0.7751196172248804,0.7604166666666666,0.7385321100917431,0.7204301075268817,0.3544973544973545,0.679144385026738,0.6210005226367733
